LSOA,BR68ND,CR77YE,E111NR,E11FR,E138SL,E96SR,EN53DJ,HA13UJ,KT27QB,N181QX,NW12BU,NW32QG,RM70AG,SE136LH,SE17EH,SE59RS,SM51AA,SW109NH,SW170QT,TW76AF,UB83NN,W68RF,KT187EG
Barking and Dagenham 001A,81.1152,86.9897,29.37,51.3057,37.1553,42.0825,70.6817,82.3953,89.8832,42.0825,70.6817,73.9257,18.2532,63.5625,67.2273,73.9257,88.9713,75.4688,83.6228,88.9713,91.5492,79.7825,96.7232
Barking and Dagenham 001B,82.3953,85.92,29.37,49.0788,39.6452,42.0825,68.9808,81.1152,88.9713,42.0825,68.9808,73.9257,21.1113,67.2273,67.2273,72.33,88.9713,78.3972,83.6228,88.9713,90.7425,82.3953,96.9513
Barking and Dagenham 001C,82.3953,85.92,26.6697,49.0788,37.1553,39.6452,68.9808,81.1152,88.9713,39.6452,68.9808,72.33,21.1113,67.2273,65.4212,72.33,88.0068,76.9593,82.3953,88.0068,90.7425,81.1152,96.9513
Barking and Dagenham 001D,79.7825,85.92,32.0177,51.3057,34.6128,44.4672,70.6817,82.3953,88.9713,44.4672,70.6817,75.4688,15.3425,63.5625,65.4212,70.6817,88.0068,73.9257,82.3953,89.8832,91.5492,78.3972,96.7232
Barking and Dagenham 002A,79.7825,83.6228,29.37,51.3057,32.0177,42.0825,70.6817,82.3953,86.9897,42.0825,67.2273,73.9257,12.3792,59.6873,63.5625,68.9808,86.9897,72.33,81.1152,88.9713,91.5492,76.9593,96.4425
Barking and Dagenham 002B,81.1152,83.6228,32.0177,51.3057,32.0177,44.4672,70.6817,82.3953,86.9897,44.4672,67.2273,75.4688,12.3792,59.6873,63.5625,68.9808,86.9897,72.33,81.1152,89.8832,91.5492,76.9593,96.7232
Barking and Dagenham 002C,76.9593,83.6228,32.0177,51.3057,32.0177,44.4672,70.6817,82.3953,86.9897,44.4672,67.2273,75.4688,9.3633,59.6873,63.5625,68.9808,86.9897,72.33,81.1152,89.8832,91.5492,76.9593,96.1092
Barking and Dagenham 002D,76.9593,83.6228,32.0177,46.7993,29.37,44.4672,72.33,83.6228,86.9897,44.4672,65.4212,75.4688,12.3792,59.6873,61.6512,68.9808,85.92,72.33,79.7825,89.8832,92.3033,76.9593,95.7233
Barking and Dagenham 002E,76.9593,83.6228,32.0177,51.3057,32.0177,44.4672,70.6817,82.3953,86.9897,44.4672,67.2273,75.4688,12.3792,59.6873,63.5625,68.9808,86.9897,72.33,81.1152,89.8832,91.5492,76.9593,96.1092
Barking and Dagenham 002F,78.3972,83.6228,32.0177,46.7993,29.37,44.4672,72.33,83.6228,86.9897,44.4672,65.4212,75.4688,12.3792,59.6873,61.6512,68.9808,85.92,72.33,79.7825,89.8832,92.3033,76.9593,96.1092
