LSOA,CCG,stp,nhs_region,admissions
Bromley 007B,NHS Bromley CCG,South East London,London,3.43
Bromley 016C,NHS Bromley CCG,South East London,London,1.37
Bromley 020A,NHS Bromley CCG,South East London,London,6.86
Bromley 022A,NHS Bromley CCG,South East London,London,3.43
Bromley 016D,NHS Bromley CCG,South East London,London,4.11
Bromley 016B,NHS Bromley CCG,South East London,London,2.74
Bromley 022B,NHS Bromley CCG,South East London,London,3.09
Bromley 016A,NHS Bromley CCG,South East London,London,4.11
Bromley 018B,NHS Bromley CCG,South East London,London,2.06
Bromley 008G,NHS Bromley CCG,South East London,London,1.71
Bromley 008C,NHS Bromley CCG,South East London,London,2.74
Bromley 008E,NHS Bromley CCG,South East London,London,1.71
Bromley 008B,NHS Bromley CCG,South East London,London,2.74
Bromley 008F,NHS Bromley CCG,South East London,London,0.69
Bromley 008D,NHS Bromley CCG,South East London,London,1.37
Bromley 008A,NHS Bromley CCG,South East London,London,1.37
Lewisham 038A,NHS Lewisham CCG,South East London,London,0
Bromley 040E,NHS Bromley CCG,South East London,London,3.77
Lewisham 038E,NHS Lewisham CCG,South East London,London,2.06
Lewisham 038D,NHS Lewisham CCG,South East London,London,1.03
Bromley 040D,NHS Bromley CCG,South East London,London,2.4
Lewisham 037E,NHS Lewisham CCG,South East London,London,2.74
Bromley 011A,NHS Bromley CCG,South East London,London,3.09
Bromley 040B,NHS Bromley CCG,South East London,London,1.37
Bromley 040A,NHS Bromley CCG,South East London,London,2.74
Lewisham 037B,NHS Lewisham CCG,South East London,London,1.37
Bromley 040C,NHS Bromley CCG,South East London,London,2.74
Lewisham 037A,NHS Lewisham CCG,South East London,London,1.71
Lewisham 026C,NHS Lewisham CCG,South East London,London,1.03
Lewisham 026B,NHS Lewisham CCG,South East London,London,2.06
Lewisham 037C,NHS Lewisham CCG,South East London,London,1.03
Lewisham 038B,NHS Lewisham CCG,South East London,London,2.4
Lewisham 037D,NHS Lewisham CCG,South East London,London,3.09
Lewisham 030E,NHS Lewisham CCG,South East London,London,1.71
Bromley 011B,NHS Bromley CCG,South East London,London,3.09
Bromley 018C,NHS Bromley CCG,South East London,London,1.03
Bromley 011E,NHS Bromley CCG,South East London,London,3.09
Bromley 021D,NHS Bromley CCG,South East London,London,5.14
Bromley 018E,NHS Bromley CCG,South East London,London,0.69
Bromley 021B,NHS Bromley CCG,South East London,London,1.71
Bromley 011D,NHS Bromley CCG,South East London,London,4.11
Bromley 033C,NHS Bromley CCG,South East London,London,1.71
Bromley 033B,NHS Bromley CCG,South East London,London,2.06
Bromley 034D,NHS Bromley CCG,South East London,London,1.37
Bromley 034E,NHS Bromley CCG,South East London,London,1.37
Bromley 027C,NHS Bromley CCG,South East London,London,2.74
Bromley 027D,NHS Bromley CCG,South East London,London,1.71
Bromley 027A,NHS Bromley CCG,South East London,London,1.37
Bromley 027B,NHS Bromley CCG,South East London,London,2.06
Bromley 026C,NHS Bromley CCG,South East London,London,1.71
Bromley 026B,NHS Bromley CCG,South East London,London,1.71
Bromley 026A,NHS Bromley CCG,South East London,London,3.09
Bromley 026D,NHS Bromley CCG,South East London,London,0.69
Bromley 033A,NHS Bromley CCG,South East London,London,3.77
Bromley 018A,NHS Bromley CCG,South East London,London,2.06
Bromley 018D,NHS Bromley CCG,South East London,London,2.4
Bromley 020D,NHS Bromley CCG,South East London,London,3.09
Bromley 016E,NHS Bromley CCG,South East London,London,2.4
Bromley 020E,NHS Bromley CCG,South East London,London,2.06
Bromley 020C,NHS Bromley CCG,South East London,London,2.74
Bromley 020B,NHS Bromley CCG,South East London,London,3.43
Bromley 006D,NHS Bromley CCG,South East London,London,1.03
Bromley 004D,NHS Bromley CCG,South East London,London,1.71
Bromley 013E,NHS Bromley CCG,South East London,London,0.69
Bromley 006C,NHS Bromley CCG,South East London,London,2.4
Bromley 006B,NHS Bromley CCG,South East London,London,1.37
Bromley 006E,NHS Bromley CCG,South East London,London,1.03
Bromley 024C,NHS Bromley CCG,South East London,London,2.4
Bromley 021C,NHS Bromley CCG,South East London,London,3.09
Bromley 024D,NHS Bromley CCG,South East London,London,1.37
Bromley 024A,NHS Bromley CCG,South East London,London,1.71
Bromley 024E,NHS Bromley CCG,South East London,London,1.37
Bromley 041E,NHS Bromley CCG,South East London,London,1.37
Bromley 024B,NHS Bromley CCG,South East London,London,1.03
Bromley 012D,NHS Bromley CCG,South East London,London,2.06
Bromley 041C,NHS Bromley CCG,South East London,London,2.06
Bromley 041D,NHS Bromley CCG,South East London,London,1.03
Bromley 013D,NHS Bromley CCG,South East London,London,2.06
Bromley 041B,NHS Bromley CCG,South East London,London,3.43
Bromley 041A,NHS Bromley CCG,South East London,London,1.71
Bromley 013C,NHS Bromley CCG,South East London,London,1.03
Bromley 013A,NHS Bromley CCG,South East London,London,0
Bromley 013B,NHS Bromley CCG,South East London,London,0
Bromley 015B,NHS Bromley CCG,South East London,London,0.69
Bromley 006A,NHS Bromley CCG,South East London,London,3.09
Bromley 012C,NHS Bromley CCG,South East London,London,2.06
Bromley 012B,NHS Bromley CCG,South East London,London,2.74
Bromley 012A,NHS Bromley CCG,South East London,London,1.03
Bromley 011C,NHS Bromley CCG,South East London,London,4.46
Bromley 021A,NHS Bromley CCG,South East London,London,0.69
Bromley 012E,NHS Bromley CCG,South East London,London,3.43
Bromley 030A,NHS Bromley CCG,South East London,London,1.71
Bromley 030C,NHS Bromley CCG,South East London,London,1.37
Bromley 027E,NHS Bromley CCG,South East London,London,1.03
Bromley 021E,NHS Bromley CCG,South East London,London,1.71
Bromley 030D,NHS Bromley CCG,South East London,London,4.46
Bromley 030B,NHS Bromley CCG,South East London,London,2.74
Bromley 030E,NHS Bromley CCG,South East London,London,3.43
Bromley 034A,NHS Bromley CCG,South East London,London,1.37
Bromley 034C,NHS Bromley CCG,South East London,London,2.06
Bromley 034B,NHS Bromley CCG,South East London,London,3.09
Bromley 030H,NHS Bromley CCG,South East London,London,2.74
Bromley 030G,NHS Bromley CCG,South East London,London,5.83
Bromley 030F,NHS Bromley CCG,South East London,London,1.37
Bromley 022D,NHS Bromley CCG,South East London,London,2.4
Bromley 025C,NHS Bromley CCG,South East London,London,3.09
Bromley 025D,NHS Bromley CCG,South East London,London,2.06
Bromley 023D,NHS Bromley CCG,South East London,London,2.06
Bromley 031C,NHS Bromley CCG,South East London,London,2.4
Bromley 025A,NHS Bromley CCG,South East London,London,1.37
Bromley 025B,NHS Bromley CCG,South East London,London,2.74
Bromley 022C,NHS Bromley CCG,South East London,London,0.69
Bromley 025E,NHS Bromley CCG,South East London,London,1.37
