,LSOA,CCG,stp,nhs_region,admissions,LSOA01,WD03CD,WD03NM,data_hosp,Preferred_unit_name,Preferred_unit_postcode
0,Bromley 007B,NHS Bromley CCG,South East London,London,3.43,Bromley 007B,00AFGD,Bickley,Princess Royal University Hospital,Princess Royal SU,BR68ND
1,Bromley 016C,NHS Bromley CCG,South East London,London,1.37,Bromley 016C,00AFGD,Bickley,Princess Royal University Hospital,Princess Royal SU,BR68ND
2,Bromley 020A,NHS Bromley CCG,South East London,London,6.86,Bromley 020A,00AFGD,Bickley,Princess Royal University Hospital,Princess Royal SU,BR68ND
3,Bromley 022A,NHS Bromley CCG,South East London,London,3.43,Bromley 022A,00AFGD,Bickley,Princess Royal University Hospital,Princess Royal SU,BR68ND
4,Bromley 016D,NHS Bromley CCG,South East London,London,4.11,Bromley 016D,00AFGD,Bickley,Princess Royal University Hospital,Princess Royal SU,BR68ND
5,Bromley 016B,NHS Bromley CCG,South East London,London,2.74,Bromley 016B,00AFGD,Bickley,Princess Royal University Hospital,Princess Royal SU,BR68ND
6,Bromley 022B,NHS Bromley CCG,South East London,London,3.09,Bromley 022B,00AFGD,Bickley,Princess Royal University Hospital,Princess Royal SU,BR68ND
7,Bromley 016A,NHS Bromley CCG,South East London,London,4.11,Bromley 016A,00AFGD,Bickley,Princess Royal University Hospital,Princess Royal SU,BR68ND
8,Bromley 018B,NHS Bromley CCG,South East London,London,2.06,Bromley 018B,00AFGG,Bromley Town,Princess Royal University Hospital,Princess Royal SU,BR68ND
9,Bromley 008G,NHS Bromley CCG,South East London,London,1.71,Bromley 008G,00AFGZ,Plaistow and Sundridge,Princess Royal University Hospital,Princess Royal SU,BR68ND
10,Bromley 008C,NHS Bromley CCG,South East London,London,2.74,Bromley 008C,00AFGZ,Plaistow and Sundridge,Princess Royal University Hospital,Princess Royal SU,BR68ND
11,Bromley 008E,NHS Bromley CCG,South East London,London,1.71,Bromley 008E,00AFGZ,Plaistow and Sundridge,Princess Royal University Hospital,Princess Royal SU,BR68ND
12,Bromley 008B,NHS Bromley CCG,South East London,London,2.74,Bromley 008B,00AFGG,Bromley Town,Princess Royal University Hospital,Princess Royal SU,BR68ND
13,Bromley 008F,NHS Bromley CCG,South East London,London,0.69,Bromley 008F,00AFGZ,Plaistow and Sundridge,Princess Royal University Hospital,Princess Royal SU,BR68ND
14,Bromley 008D,NHS Bromley CCG,South East London,London,1.37,Bromley 008D,00AFGZ,Plaistow and Sundridge,Princess Royal University Hospital,Princess Royal SU,BR68ND
15,Bromley 008A,NHS Bromley CCG,South East London,London,1.37,Bromley 008A,00AFGG,Bromley Town,Princess Royal University Hospital,Princess Royal SU,BR68ND
16,Lewisham 038A,NHS Lewisham CCG,South East London,London,0,Lewisham 036B,00AZGJ,Downham,University Hospital Lewisham,Lewisham SU,SE136LH
17,Bromley 040E,NHS Bromley CCG,South East London,London,3.77,Bromley 003E,00AFGZ,Plaistow and Sundridge,Princess Royal University Hospital,Princess Royal SU,BR68ND
18,Lewisham 038E,NHS Lewisham CCG,South East London,London,2.06,Lewisham 036A,00AZGJ,Downham,University Hospital Lewisham,Lewisham SU,SE136LH
19,Lewisham 038D,NHS Lewisham CCG,South East London,London,1.03,Lewisham 036E,00AZGJ,Downham,University Hospital Lewisham,Lewisham SU,SE136LH
20,Bromley 040D,NHS Bromley CCG,South East London,London,2.4,Bromley 003B,00AFGZ,Plaistow and Sundridge,Princess Royal University Hospital,Princess Royal SU,BR68ND
21,Lewisham 037E,NHS Lewisham CCG,South East London,London,2.74,Lewisham 032E,00AZGJ,Downham,University Hospital Lewisham,Lewisham SU,SE136LH
22,Bromley 011A,NHS Bromley CCG,South East London,London,3.09,Bromley 011A,00AFGG,Bromley Town,Princess Royal University Hospital,Princess Royal SU,BR68ND
23,Bromley 040B,NHS Bromley CCG,South East London,London,1.37,Bromley 003C,00AFGZ,Plaistow and Sundridge,Princess Royal University Hospital,Princess Royal SU,BR68ND
24,Bromley 040A,NHS Bromley CCG,South East London,London,2.74,Bromley 003A,00AFGZ,Plaistow and Sundridge,Princess Royal University Hospital,Princess Royal SU,BR68ND
25,Lewisham 037B,NHS Lewisham CCG,South East London,London,1.37,Lewisham 032B,00AZGJ,Downham,University Hospital Lewisham,Lewisham SU,SE136LH
26,Bromley 040C,NHS Bromley CCG,South East London,London,2.74,Bromley 003D,00AFGZ,Plaistow and Sundridge,Princess Royal University Hospital,Princess Royal SU,BR68ND
27,Lewisham 037A,NHS Lewisham CCG,South East London,London,1.71,Lewisham 032A,00AZGJ,Downham,University Hospital Lewisham,Lewisham SU,SE136LH
28,Lewisham 026C,NHS Lewisham CCG,South East London,London,1.03,Lewisham 026C,00AZGX,Whitefoot,University Hospital Lewisham,Lewisham SU,SE136LH
29,Lewisham 026B,NHS Lewisham CCG,South East London,London,2.06,Lewisham 026B,00AZGX,Whitefoot,University Hospital Lewisham,Lewisham SU,SE136LH
30,Lewisham 037C,NHS Lewisham CCG,South East London,London,1.03,Lewisham 032C,00AZGJ,Downham,University Hospital Lewisham,Lewisham SU,SE136LH
31,Lewisham 038B,NHS Lewisham CCG,South East London,London,2.4,Lewisham 036C,00AZGJ,Downham,University Hospital Lewisham,Lewisham SU,SE136LH
32,Lewisham 037D,NHS Lewisham CCG,South East London,London,3.09,Lewisham 032D,00AZGJ,Downham,University Hospital Lewisham,Lewisham SU,SE136LH
33,Lewisham 030E,NHS Lewisham CCG,South East London,London,1.71,Lewisham 030E,00AZGX,Whitefoot,University Hospital Lewisham,Lewisham SU,SE136LH
34,Bromley 011B,NHS Bromley CCG,South East London,London,3.09,Bromley 011B,00AFGG,Bromley Town,Princess Royal University Hospital,Princess Royal SU,BR68ND
35,Bromley 018C,NHS Bromley CCG,South East London,London,1.03,Bromley 018C,00AFGG,Bromley Town,Princess Royal University Hospital,Princess Royal SU,BR68ND
36,Bromley 011E,NHS Bromley CCG,South East London,London,3.09,Bromley 011E,00AFHA,Shortlands,Princess Royal University Hospital,Princess Royal SU,BR68ND
37,Bromley 021D,NHS Bromley CCG,South East London,London,5.14,Bromley 021D,00AFHA,Shortlands,Princess Royal University Hospital,Princess Royal SU,BR68ND
38,Bromley 018E,NHS Bromley CCG,South East London,London,0.69,Bromley 018E,00AFHA,Shortlands,Princess Royal University Hospital,Princess Royal SU,BR68ND
39,Bromley 021B,NHS Bromley CCG,South East London,London,1.71,Bromley 021B,00AFHA,Shortlands,Princess Royal University Hospital,Princess Royal SU,BR68ND
40,Bromley 011D,NHS Bromley CCG,South East London,London,4.11,Bromley 011D,00AFGL,Copers Cope,Princess Royal University Hospital,Princess Royal SU,BR68ND
41,Bromley 033C,NHS Bromley CCG,South East London,London,1.71,Bromley 033C,00AFGF,Bromley Common and Keston,Princess Royal University Hospital,Princess Royal SU,BR68ND
42,Bromley 033B,NHS Bromley CCG,South East London,London,2.06,Bromley 033B,00AFGF,Bromley Common and Keston,Princess Royal University Hospital,Princess Royal SU,BR68ND
43,Bromley 034D,NHS Bromley CCG,South East London,London,1.37,Bromley 034D,00AFGS,Hayes and Coney Hall,Princess Royal University Hospital,Princess Royal SU,BR68ND
44,Bromley 034E,NHS Bromley CCG,South East London,London,1.37,Bromley 034E,00AFGS,Hayes and Coney Hall,Princess Royal University Hospital,Princess Royal SU,BR68ND
45,Bromley 027C,NHS Bromley CCG,South East London,London,2.74,Bromley 027C,00AFGS,Hayes and Coney Hall,Princess Royal University Hospital,Princess Royal SU,BR68ND
46,Bromley 027D,NHS Bromley CCG,South East London,London,1.71,Bromley 027D,00AFGS,Hayes and Coney Hall,Princess Royal University Hospital,Princess Royal SU,BR68ND
47,Bromley 027A,NHS Bromley CCG,South East London,London,1.37,Bromley 027A,00AFGS,Hayes and Coney Hall,Princess Royal University Hospital,Princess Royal SU,BR68ND
48,Bromley 027B,NHS Bromley CCG,South East London,London,2.06,Bromley 027B,00AFGS,Hayes and Coney Hall,Princess Royal University Hospital,Princess Royal SU,BR68ND
49,Bromley 026C,NHS Bromley CCG,South East London,London,1.71,Bromley 026C,00AFGF,Bromley Common and Keston,Princess Royal University Hospital,Princess Royal SU,BR68ND
50,Bromley 026B,NHS Bromley CCG,South East London,London,1.71,Bromley 026B,00AFGF,Bromley Common and Keston,Princess Royal University Hospital,Princess Royal SU,BR68ND
51,Bromley 026A,NHS Bromley CCG,South East London,London,3.09,Bromley 026A,00AFGF,Bromley Common and Keston,Princess Royal University Hospital,Princess Royal SU,BR68ND
52,Bromley 026D,NHS Bromley CCG,South East London,London,0.69,Bromley 026D,00AFGF,Bromley Common and Keston,Princess Royal University Hospital,Princess Royal SU,BR68ND
53,Bromley 033A,NHS Bromley CCG,South East London,London,3.77,Bromley 033A,00AFGF,Bromley Common and Keston,Princess Royal University Hospital,Princess Royal SU,BR68ND
54,Bromley 018A,NHS Bromley CCG,South East London,London,2.06,Bromley 018A,00AFGG,Bromley Town,Princess Royal University Hospital,Princess Royal SU,BR68ND
55,Bromley 018D,NHS Bromley CCG,South East London,London,2.4,Bromley 018D,00AFGS,Hayes and Coney Hall,Princess Royal University Hospital,Princess Royal SU,BR68ND
56,Bromley 020D,NHS Bromley CCG,South East London,London,3.09,Bromley 020D,00AFGG,Bromley Town,Princess Royal University Hospital,Princess Royal SU,BR68ND
57,Bromley 016E,NHS Bromley CCG,South East London,London,2.4,Bromley 016E,00AFGG,Bromley Town,Princess Royal University Hospital,Princess Royal SU,BR68ND
58,Bromley 020E,NHS Bromley CCG,South East London,London,2.06,Bromley 020E,00AFGG,Bromley Town,Princess Royal University Hospital,Princess Royal SU,BR68ND
59,Bromley 020C,NHS Bromley CCG,South East London,London,2.74,Bromley 020C,00AFGF,Bromley Common and Keston,Princess Royal University Hospital,Princess Royal SU,BR68ND
60,Bromley 020B,NHS Bromley CCG,South East London,London,3.43,Bromley 020B,00AFGF,Bromley Common and Keston,Princess Royal University Hospital,Princess Royal SU,BR68ND
61,Bromley 006D,NHS Bromley CCG,South East London,London,1.03,Bromley 006D,00AFGL,Copers Cope,Princess Royal University Hospital,Princess Royal SU,BR68ND
62,Bromley 004D,NHS Bromley CCG,South East London,London,1.71,Bromley 004D,00AFGX,Penge and Cator,Princess Royal University Hospital,Princess Royal SU,BR68ND
63,Bromley 013E,NHS Bromley CCG,South East London,London,0.69,Bromley 013E,00AFGX,Penge and Cator,Princess Royal University Hospital,Princess Royal SU,BR68ND
64,Bromley 006C,NHS Bromley CCG,South East London,London,2.4,Bromley 006C,00AFGL,Copers Cope,Princess Royal University Hospital,Princess Royal SU,BR68ND
65,Bromley 006B,NHS Bromley CCG,South East London,London,1.37,Bromley 006B,00AFGL,Copers Cope,Princess Royal University Hospital,Princess Royal SU,BR68ND
66,Bromley 006E,NHS Bromley CCG,South East London,London,1.03,Bromley 006E,00AFGL,Copers Cope,Princess Royal University Hospital,Princess Royal SU,BR68ND
67,Bromley 024C,NHS Bromley CCG,South East London,London,2.4,Bromley 024C,00AFGT,Kelsey and Eden Park,Princess Royal University Hospital,Princess Royal SU,BR68ND
68,Bromley 021C,NHS Bromley CCG,South East London,London,3.09,Bromley 021C,00AFHA,Shortlands,Princess Royal University Hospital,Princess Royal SU,BR68ND
69,Bromley 024D,NHS Bromley CCG,South East London,London,1.37,Bromley 024D,00AFGT,Kelsey and Eden Park,Princess Royal University Hospital,Princess Royal SU,BR68ND
70,Bromley 024A,NHS Bromley CCG,South East London,London,1.71,Bromley 024A,00AFGT,Kelsey and Eden Park,Princess Royal University Hospital,Princess Royal SU,BR68ND
71,Bromley 024E,NHS Bromley CCG,South East London,London,1.37,Bromley 024E,00AFGT,Kelsey and Eden Park,Princess Royal University Hospital,Princess Royal SU,BR68ND
72,Bromley 041E,NHS Bromley CCG,South East London,London,1.37,Bromley 017E,00AFGT,Kelsey and Eden Park,Princess Royal University Hospital,Princess Royal SU,BR68ND
73,Bromley 024B,NHS Bromley CCG,South East London,London,1.03,Bromley 024B,00AFGT,Kelsey and Eden Park,Princess Royal University Hospital,Princess Royal SU,BR68ND
74,Bromley 012D,NHS Bromley CCG,South East London,London,2.06,Bromley 012D,00AFGT,Kelsey and Eden Park,Princess Royal University Hospital,Princess Royal SU,BR68ND
75,Bromley 041C,NHS Bromley CCG,South East London,London,2.06,Bromley 017C,00AFGT,Kelsey and Eden Park,Princess Royal University Hospital,Princess Royal SU,BR68ND
76,Bromley 041D,NHS Bromley CCG,South East London,London,1.03,Bromley 017D,00AFGT,Kelsey and Eden Park,Princess Royal University Hospital,Princess Royal SU,BR68ND
77,Bromley 013D,NHS Bromley CCG,South East London,London,2.06,Bromley 013D,00AFGK,Clock House,Princess Royal University Hospital,Princess Royal SU,BR68ND
78,Bromley 041B,NHS Bromley CCG,South East London,London,3.43,Bromley 017B,00AFGK,Clock House,Princess Royal University Hospital,Princess Royal SU,BR68ND
79,Bromley 041A,NHS Bromley CCG,South East London,London,1.71,Bromley 017A,00AFGK,Clock House,Princess Royal University Hospital,Princess Royal SU,BR68ND
80,Bromley 013C,NHS Bromley CCG,South East London,London,1.03,Bromley 013C,00AFGK,Clock House,Princess Royal University Hospital,Princess Royal SU,BR68ND
81,Bromley 013A,NHS Bromley CCG,South East London,London,0,Bromley 013A,00AFGK,Clock House,Princess Royal University Hospital,Princess Royal SU,BR68ND
82,Bromley 013B,NHS Bromley CCG,South East London,London,0,Bromley 013B,00AFGK,Clock House,Princess Royal University Hospital,Princess Royal SU,BR68ND
83,Bromley 015B,NHS Bromley CCG,South East London,London,0.69,Bromley 015B,00AFGK,Clock House,Princess Royal University Hospital,Princess Royal SU,BR68ND
84,Bromley 006A,NHS Bromley CCG,South East London,London,3.09,Bromley 006A,00AFGK,Clock House,Princess Royal University Hospital,Princess Royal SU,BR68ND
85,Bromley 012C,NHS Bromley CCG,South East London,London,2.06,Bromley 012C,00AFGL,Copers Cope,Princess Royal University Hospital,Princess Royal SU,BR68ND
86,Bromley 012B,NHS Bromley CCG,South East London,London,2.74,Bromley 012B,00AFGL,Copers Cope,Princess Royal University Hospital,Princess Royal SU,BR68ND
87,Bromley 012A,NHS Bromley CCG,South East London,London,1.03,Bromley 012A,00AFGL,Copers Cope,Princess Royal University Hospital,Princess Royal SU,BR68ND
88,Bromley 011C,NHS Bromley CCG,South East London,London,4.46,Bromley 011C,00AFGL,Copers Cope,Princess Royal University Hospital,Princess Royal SU,BR68ND
89,Bromley 021A,NHS Bromley CCG,South East London,London,0.69,Bromley 021A,00AFHA,Shortlands,Princess Royal University Hospital,Princess Royal SU,BR68ND
90,Bromley 012E,NHS Bromley CCG,South East London,London,3.43,Bromley 012E,00AFGT,Kelsey and Eden Park,Princess Royal University Hospital,Princess Royal SU,BR68ND
91,Bromley 030A,NHS Bromley CCG,South East London,London,1.71,Bromley 030A,00AFHB,West Wickham,Princess Royal University Hospital,Princess Royal SU,BR68ND
92,Bromley 030C,NHS Bromley CCG,South East London,London,1.37,Bromley 030C,00AFHB,West Wickham,Princess Royal University Hospital,Princess Royal SU,BR68ND
93,Bromley 027E,NHS Bromley CCG,South East London,London,1.03,Bromley 027E,00AFHB,West Wickham,Princess Royal University Hospital,Princess Royal SU,BR68ND
94,Bromley 021E,NHS Bromley CCG,South East London,London,1.71,Bromley 021E,00AFHB,West Wickham,Princess Royal University Hospital,Princess Royal SU,BR68ND
95,Bromley 030D,NHS Bromley CCG,South East London,London,4.46,Bromley 030D,00AFHB,West Wickham,Princess Royal University Hospital,Princess Royal SU,BR68ND
96,Bromley 030B,NHS Bromley CCG,South East London,London,2.74,Bromley 030B,00AFHB,West Wickham,Princess Royal University Hospital,Princess Royal SU,BR68ND
97,Bromley 030E,NHS Bromley CCG,South East London,London,3.43,Bromley 030E,00AFHB,West Wickham,Princess Royal University Hospital,Princess Royal SU,BR68ND
98,Bromley 034A,NHS Bromley CCG,South East London,London,1.37,Bromley 034A,00AFGS,Hayes and Coney Hall,Princess Royal University Hospital,Princess Royal SU,BR68ND
99,Bromley 034C,NHS Bromley CCG,South East London,London,2.06,Bromley 034C,00AFGS,Hayes and Coney Hall,Princess Royal University Hospital,Princess Royal SU,BR68ND
100,Bromley 034B,NHS Bromley CCG,South East London,London,3.09,Bromley 034B,00AFGS,Hayes and Coney Hall,Princess Royal University Hospital,Princess Royal SU,BR68ND
101,Bromley 030H,NHS Bromley CCG,South East London,London,2.74,Bromley 030H,00AFHB,West Wickham,Princess Royal University Hospital,Princess Royal SU,BR68ND
102,Bromley 030G,NHS Bromley CCG,South East London,London,5.83,Bromley 030G,00AFHB,West Wickham,Princess Royal University Hospital,Princess Royal SU,BR68ND
103,Bromley 030F,NHS Bromley CCG,South East London,London,1.37,Bromley 030F,00AFHB,West Wickham,Princess Royal University Hospital,Princess Royal SU,BR68ND
104,Bromley 022D,NHS Bromley CCG,South East London,London,2.4,Bromley 022D,00AFGY,Petts Wood and Knoll,Princess Royal University Hospital,Princess Royal SU,BR68ND
105,Bromley 025C,NHS Bromley CCG,South East London,London,3.09,Bromley 025C,00AFGY,Petts Wood and Knoll,Princess Royal University Hospital,Princess Royal SU,BR68ND
106,Bromley 025D,NHS Bromley CCG,South East London,London,2.06,Bromley 025D,00AFGY,Petts Wood and Knoll,Princess Royal University Hospital,Princess Royal SU,BR68ND
107,Bromley 023D,NHS Bromley CCG,South East London,London,2.06,Bromley 023D,00AFGN,Cray Valley West,Princess Royal University Hospital,Princess Royal SU,BR68ND
108,Bromley 031C,NHS Bromley CCG,South East London,London,2.4,Bromley 031C,00AFGR,Farnborough and Crofton,Princess Royal University Hospital,Princess Royal SU,BR68ND
109,Bromley 025A,NHS Bromley CCG,South East London,London,1.37,Bromley 025A,00AFGY,Petts Wood and Knoll,Princess Royal University Hospital,Princess Royal SU,BR68ND
110,Bromley 025B,NHS Bromley CCG,South East London,London,2.74,Bromley 025B,00AFGY,Petts Wood and Knoll,Princess Royal University Hospital,Princess Royal SU,BR68ND
111,Bromley 022C,NHS Bromley CCG,South East London,London,0.69,Bromley 022C,00AFGY,Petts Wood and Knoll,Princess Royal University Hospital,Princess Royal SU,BR68ND
112,Bromley 025E,NHS Bromley CCG,South East London,London,1.37,Bromley 025E,00AFGY,Petts Wood and Knoll,Princess Royal University Hospital,Princess Royal SU,BR68ND
113,Bromley 028B,NHS Bromley CCG,South East London,London,1.71,Bromley 028B,00AFGN,Cray Valley West,Princess Royal University Hospital,Princess Royal SU,BR68ND
114,Bromley 023E,NHS Bromley CCG,South East London,London,3.43,Bromley 023E,00AFGN,Cray Valley West,Princess Royal University Hospital,Princess Royal SU,BR68ND
115,Bromley 014D,NHS Bromley CCG,South East London,London,4.8,Bromley 014D,00AFGN,Cray Valley West,Princess Royal University Hospital,Princess Royal SU,BR68ND
116,Bromley 014E,NHS Bromley CCG,South East London,London,1.71,Bromley 014E,00AFGN,Cray Valley West,Princess Royal University Hospital,Princess Royal SU,BR68ND
117,Bromley 014B,NHS Bromley CCG,South East London,London,4.8,Bromley 014B,00AFGN,Cray Valley West,Princess Royal University Hospital,Princess Royal SU,BR68ND
118,Bromley 023C,NHS Bromley CCG,South East London,London,2.06,Bromley 023C,00AFGN,Cray Valley West,Princess Royal University Hospital,Princess Royal SU,BR68ND
119,Bromley 014A,NHS Bromley CCG,South East London,London,1.03,Bromley 014A,00AFGN,Cray Valley West,Princess Royal University Hospital,Princess Royal SU,BR68ND
120,Bromley 010D,NHS Bromley CCG,South East London,London,2.4,Bromley 010D,00AFGN,Cray Valley West,Princess Royal University Hospital,Princess Royal SU,BR68ND
121,Bromley 010C,NHS Bromley CCG,South East London,London,2.06,Bromley 010C,00AFGN,Cray Valley West,Princess Royal University Hospital,Princess Royal SU,BR68ND
122,Bromley 014C,NHS Bromley CCG,South East London,London,2.06,Bromley 014C,00AFGN,Cray Valley West,Princess Royal University Hospital,Princess Royal SU,BR68ND
123,Bromley 019A,NHS Bromley CCG,South East London,London,1.37,Bromley 019A,00AFGM,Cray Valley East,Princess Royal University Hospital,Princess Royal SU,BR68ND
124,Bromley 023A,NHS Bromley CCG,South East London,London,1.71,Bromley 023A,00AFGM,Cray Valley East,Princess Royal University Hospital,Princess Royal SU,BR68ND
125,Bromley 019E,NHS Bromley CCG,South East London,London,2.06,Bromley 019E,00AFGM,Cray Valley East,Princess Royal University Hospital,Princess Royal SU,BR68ND
126,Bromley 019C,NHS Bromley CCG,South East London,London,0.69,Bromley 019C,00AFGM,Cray Valley East,Princess Royal University Hospital,Princess Royal SU,BR68ND
127,Bromley 023B,NHS Bromley CCG,South East London,London,5.49,Bromley 023B,00AFGM,Cray Valley East,Princess Royal University Hospital,Princess Royal SU,BR68ND
128,Bromley 019D,NHS Bromley CCG,South East London,London,2.4,Bromley 019D,00AFGM,Cray Valley East,Princess Royal University Hospital,Princess Royal SU,BR68ND
129,Bromley 029B,NHS Bromley CCG,South East London,London,4.11,Bromley 029B,00AFGM,Cray Valley East,Princess Royal University Hospital,Princess Royal SU,BR68ND
130,Bromley 019B,NHS Bromley CCG,South East London,London,1.03,Bromley 019B,00AFGM,Cray Valley East,Princess Royal University Hospital,Princess Royal SU,BR68ND
131,Bromley 032B,NHS Bromley CCG,South East London,London,2.4,Bromley 032B,00AFGW,Orpington,Princess Royal University Hospital,Princess Royal SU,BR68ND
132,Bromley 029A,NHS Bromley CCG,South East London,London,3.09,Bromley 029A,00AFGM,Cray Valley East,Princess Royal University Hospital,Princess Royal SU,BR68ND
