LSOA,LSOA01,WD03CD,WD03NM,data_hosp,Preferred_unit_name,Preferred_unit_postcode
Barking and Dagenham 001A,Barking and Dagenham 001A,00ABGA,Chadwell Heath,Queen's Hospital,Queens Romford SU,RM70AG
Barking and Dagenham 001B,Barking and Dagenham 001B,00ABGA,Chadwell Heath,Queen's Hospital,Queens Romford SU,RM70AG
Barking and Dagenham 001C,Barking and Dagenham 001C,00ABGA,Chadwell Heath,Queen's Hospital,Queens Romford SU,RM70AG
Barking and Dagenham 001D,Barking and Dagenham 001D,00ABGA,Chadwell Heath,Queen's Hospital,Queens Romford SU,RM70AG
Barking and Dagenham 002A,Barking and Dagenham 002A,00ABGA,Chadwell Heath,Queen's Hospital,Queens Romford SU,RM70AG
Barking and Dagenham 002B,Barking and Dagenham 002B,00ABGA,Chadwell Heath,Queen's Hospital,Queens Romford SU,RM70AG
Barking and Dagenham 002C,Barking and Dagenham 002C,00ABGP,Whalebone,Queen's Hospital,Queens Romford SU,RM70AG
Barking and Dagenham 002D,Barking and Dagenham 002D,00ABGP,Whalebone,Queen's Hospital,Queens Romford SU,RM70AG
Barking and Dagenham 002E,Barking and Dagenham 002E,00ABGP,Whalebone,Queen's Hospital,Queens Romford SU,RM70AG
Barking and Dagenham 002F,Barking and Dagenham 002F,00ABGP,Whalebone,Queen's Hospital,Queens Romford SU,RM70AG
Barking and Dagenham 003A,Barking and Dagenham 003A,00ABGB,Eastbrook,Queen's Hospital,Queens Romford SU,RM70AG
Barking and Dagenham 003B,Barking and Dagenham 003B,00ABGB,Eastbrook,Queen's Hospital,Queens Romford SU,RM70AG
Barking and Dagenham 003C,Barking and Dagenham 003C,00ABGB,Eastbrook,Queen's Hospital,Queens Romford SU,RM70AG
Barking and Dagenham 003D,Barking and Dagenham 003D,00ABGB,Eastbrook,Queen's Hospital,Queens Romford SU,RM70AG
Barking and Dagenham 004A,Barking and Dagenham 004A,00ABGF,Heath,Queen's Hospital,Queens Romford SU,RM70AG
Barking and Dagenham 004B,Barking and Dagenham 004B,00ABGM,Valence,Queen's Hospital,Queens Romford SU,RM70AG
Barking and Dagenham 004C,Barking and Dagenham 004C,00ABGM,Valence,Queen's Hospital,Queens Romford SU,RM70AG
Barking and Dagenham 004D,Barking and Dagenham 004D,00ABGP,Whalebone,Queen's Hospital,Queens Romford SU,RM70AG
Barking and Dagenham 004E,Barking and Dagenham 004E,00ABGP,Whalebone,Queen's Hospital,Queens Romford SU,RM70AG
Barking and Dagenham 006A,Barking and Dagenham 006A,00ABGB,Eastbrook,Queen's Hospital,Queens Romford SU,RM70AG
