from_postcode,BR68ND,CR77YE,E111NR,E11FR,E138SL,E96SR,EN53DJ,HA13UJ,KT27QB,N181QX,NW12BU,NW32QG,RM70AG,SE136LH,SE17EH,SE59RS,SM51AA,SW109NH,SW170QT,TW76AF,UB83NN,W68RF
Barking and Dagenham 001A,52.2543,38.1738,11.473,20.6514,15.5407,16.3751,30.4556,41.5114,42.5544,17.9396,28.161,33.5846,6.5709,27.4309,26.5965,29.0997,40.5727,32.5416,35.5663,48.3952,53.7145,34.6276
Barking and Dagenham 001B,52.8801,37.548,10.8472,20.0256,16.0622,15.7493,29.8298,40.8856,41.9286,17.3138,27.5352,32.9588,7.301,28.4739,25.9707,28.5782,40.0512,33.4803,35.0448,47.7694,53.193,35.6706
Barking and Dagenham 001C,53.6102,37.4437,10.7429,19.9213,15.8536,15.645,29.7255,40.7813,41.8243,17.2095,27.4309,32.8545,7.9268,28.3696,25.8664,28.3696,39.8426,33.376,34.8362,47.6651,52.9844,35.5663
Barking and Dagenham 001D,51.107,37.8609,11.7859,20.9643,14.3934,16.688,30.7685,41.8243,42.3458,18.2525,28.4739,33.8975,5.5279,26.2836,26.2836,28.8911,40.3641,31.3943,35.3577,48.7081,54.0274,33.5846
Barking and Dagenham 002A,51.4199,36.8179,11.8902,21.0686,13.3504,16.7923,30.8728,41.9286,41.3028,18.3568,26.7008,34.0018,4.3806,25.2406,25.2406,27.8481,39.3211,30.3513,34.3147,48.8124,54.236,32.5416
Barking and Dagenham 002B,51.8371,35.9835,12.3074,21.4858,12.516,17.2095,31.29,42.4501,40.3641,18.774,25.8664,34.419,4.4849,24.4062,24.4062,27.0137,38.3824,29.5169,33.4803,49.2296,54.6532,31.6029
Barking and Dagenham 002C,46.1006,36.7136,12.6203,21.7987,13.2461,17.5224,31.6029,42.6587,41.1985,19.0869,26.5965,34.7319,3.6505,25.1363,25.1363,27.7438,39.2168,30.247,34.2104,49.5425,54.8618,32.4373
Barking and Dagenham 002D,45.2662,35.8792,12.9332,18.8783,12.4117,17.8353,31.9158,42.9716,40.3641,19.3998,25.7621,35.0448,4.172,24.4062,24.3019,26.9094,38.3824,29.4126,33.376,49.8554,55.1747,31.6029
Barking and Dagenham 002E,45.9963,36.6093,12.516,21.6944,13.1418,17.4181,31.4986,42.5544,41.0942,18.9826,26.4922,34.6276,4.172,25.032,25.032,27.6395,39.1125,30.1427,34.1061,49.4382,54.8618,32.333
Barking and Dagenham 002F,46.4135,35.462,12.8289,18.4611,11.9945,17.731,31.8115,42.8673,39.8426,19.2955,25.3449,34.9405,4.5892,23.8847,23.8847,26.3879,37.8609,28.8911,32.8545,49.7511,55.1747,31.0814
Barking and Dagenham 003A,44.3275,36.2964,16.0622,19.2955,12.8289,20.9643,35.1491,46.2049,40.677,22.6331,26.1793,29.4126,3.4419,24.7191,24.7191,27.2223,38.6953,29.7255,33.6889,41.4071,58.408,31.9158
Barking and Dagenham 003B,45.6834,37.8609,16.3751,20.86,14.3934,21.2772,55.5919,46.5178,42.2415,22.946,27.7438,30.8728,1.8774,26.2836,26.2836,28.7868,40.2598,31.29,35.2534,53.2973,58.7209,33.4803
Barking and Dagenham 003C,46.2049,37.0265,15.645,20.0256,13.559,20.5471,55.3833,45.6834,41.4071,22.1116,26.9094,30.1427,1.5645,25.4492,25.4492,27.9524,39.4254,30.5599,34.419,52.5672,57.8865,32.6459
Barking and Dagenham 003D,45.1619,37.1308,16.8966,20.1299,13.6633,21.7987,56.1134,46.935,41.5114,23.3632,27.0137,30.247,2.2946,25.5535,25.5535,28.0567,39.5297,30.6642,34.5233,53.7145,59.1381,32.7502
Barking and Dagenham 004A,44.0146,34.419,14.2891,17.4181,10.9515,19.1912,33.2717,44.3275,38.7996,20.7557,24.3019,27.4309,3.9634,22.8417,22.8417,25.3449,36.8179,27.8481,31.8115,39.4254,56.5306,30.0384
Barking and Dagenham 004B,45.1619,34.5233,14.3934,17.5224,11.0558,19.2955,33.376,44.5361,38.9039,20.86,24.4062,27.6395,4.172,22.946,22.946,25.4492,36.9222,28.0567,31.9158,39.634,56.7392,30.1427
Barking and Dagenham 004C,44.1189,34.8362,13.9762,17.8353,11.3687,18.8783,33.0631,44.1189,39.2168,20.5471,24.7191,27.9524,3.7548,23.2589,23.2589,25.7621,37.2351,28.3696,32.2287,39.9469,56.322,30.4556
