,,constrained_beds
min,Charing Cross SU,0.0
min,Croydon SU,0.0
min,King’s College SU,0.0
min,Lewisham SU,0.0
min,N Middlesex SU,0.0
min,Newham General SU,0.0
min,Northwick Park SU,0.0
min,Queens Romford SU,0.0
min,Royal Free SU,0.0
min,St Helier SU,0.0
mean,Charing Cross SU,0.0
mean,Croydon SU,0.0
mean,King’s College SU,0.0
mean,Lewisham SU,0.0
mean,N Middlesex SU,0.0
mean,Newham General SU,0.0
mean,Northwick Park SU,0.0
mean,Queens Romford SU,0.0
mean,Royal Free SU,0.0
mean,St Helier SU,0.0
median,Charing Cross SU,0.0
median,Croydon SU,0.0
median,King’s College SU,0.0
median,Lewisham SU,0.0
median,N Middlesex SU,0.0
median,Newham General SU,0.0
median,Northwick Park SU,0.0
median,Queens Romford SU,0.0
median,Royal Free SU,0.0
median,St Helier SU,0.0
max,Charing Cross SU,0.0
max,Croydon SU,0.0
max,King’s College SU,0.0
max,Lewisham SU,0.0
max,N Middlesex SU,0.0
max,Newham General SU,0.0
max,Northwick Park SU,0.0
max,Queens Romford SU,0.0
max,Royal Free SU,0.0
max,St Helier SU,0.0
percentile_95,Charing Cross SU,0.0
percentile_95,Croydon SU,0.0
percentile_95,King’s College SU,0.0
percentile_95,Lewisham SU,0.0
percentile_95,N Middlesex SU,0.0
percentile_95,Newham General SU,0.0
percentile_95,Northwick Park SU,0.0
percentile_95,Queens Romford SU,0.0
percentile_95,Royal Free SU,0.0
percentile_95,St Helier SU,0.0
