,,constrained_beds
min,Charing Cross SU,40.42553191489361
min,Croydon SU,34.48275862068966
min,King’s College SU,34.285714285714285
min,Lewisham SU,40.0
min,N Middlesex SU,51.42857142857142
min,Newham General SU,38.88888888888889
min,Northwick Park SU,51.515151515151516
min,Queens Romford SU,34.375
min,Royal Free SU,39.285714285714285
min,St Helier SU,40.909090909090914
mean,Charing Cross SU,85.95025745652353
mean,Croydon SU,80.79766965832404
mean,King’s College SU,79.34794520547928
mean,Lewisham SU,81.63709167544792
mean,N Middlesex SU,85.53581213307254
mean,Newham General SU,82.30762726196645
mean,Northwick Park SU,85.9396706793998
mean,Queens Romford SU,85.30993150684931
mean,Royal Free SU,86.16324200913246
mean,St Helier SU,84.92901618929078
median,Charing Cross SU,87.2340425531915
median,Croydon SU,82.75862068965517
median,King’s College SU,80.0
median,Lewisham SU,81.53846153846153
median,N Middlesex SU,85.71428571428571
median,Newham General SU,81.48148148148148
median,Northwick Park SU,86.36363636363636
median,Queens Romford SU,87.5
median,Royal Free SU,87.5
median,St Helier SU,86.36363636363636
max,Charing Cross SU,100.0
max,Croydon SU,100.0
max,King’s College SU,100.0
max,Lewisham SU,100.0
max,N Middlesex SU,100.0
max,Newham General SU,100.0
max,Northwick Park SU,100.0
max,Queens Romford SU,100.0
max,Royal Free SU,100.0
max,St Helier SU,100.0
percentile_95,Charing Cross SU,100.0
percentile_95,Croydon SU,100.0
percentile_95,King’s College SU,100.0
percentile_95,Lewisham SU,100.0
percentile_95,N Middlesex SU,100.0
percentile_95,Newham General SU,100.0
percentile_95,Northwick Park SU,100.0
percentile_95,Queens Romford SU,100.0
percentile_95,Royal Free SU,100.0
percentile_95,St Helier SU,100.0
