,,constrained_beds
min,asu_patients_all,377.0
min,asu_patients_allocated,362.0
min,asu_patients_displaced,0.0
min,asu_patients_unallocated,0.0
min,current_patients,377.0
min,total_patients,0.0
min,total_patients_asu,0.0
min,total_patients_displaced,0.0
min,total_patients_waited,0.0
mean,asu_patients_all,434.99342465753426
mean,asu_patients_allocated,416.78109589041094
mean,asu_patients_displaced,0.0
mean,asu_patients_unallocated,18.21232876712329
mean,current_patients,434.99342465753426
mean,total_patients,4761.169863013699
mean,total_patients_asu,2710.510684931507
mean,total_patients_displaced,0.0
mean,total_patients_waited,640.5304109589041
median,asu_patients_all,435.0
median,asu_patients_allocated,417.0
median,asu_patients_displaced,0.0
median,asu_patients_unallocated,17.0
median,current_patients,435.0
median,total_patients,4761.0
median,total_patients_asu,2711.0
median,total_patients_displaced,0.0
median,total_patients_waited,631.0
max,asu_patients_all,491.0
max,asu_patients_allocated,461.0
max,asu_patients_displaced,0.0
max,asu_patients_unallocated,56.0
max,current_patients,491.0
max,total_patients,9523.0
max,total_patients_asu,5508.0
max,total_patients_displaced,0.0
max,total_patients_waited,1592.0
percentile_95,asu_patients_all,465.0
percentile_95,asu_patients_allocated,439.0
percentile_95,asu_patients_displaced,0.0
percentile_95,asu_patients_unallocated,37.0
percentile_95,current_patients,465.0
percentile_95,total_patients,9052.0
percentile_95,total_patients_asu,5160.0
percentile_95,total_patients_displaced,0.0
percentile_95,total_patients_waited,1269.5499999999993
