Unit,Postcode,Use,los_mean,los_mean_actual,Capacity,av_base_occupancy,region_name,region,planned_beds,HASU,allow_pool_use,planned_85_percent,,,x1,x2,x3
Barnet General SU,EN53DJ,0,28,27.3,0,11.82,NC,1,24,0,0,14,,,Charing Cross SU,24.3333333333333,29
Charing Cross SU,W68RF,1,28,40,29,25.56,NW,3,22,1,0,31,,,Croydon SU,22.3,27
Chelsea & Wminster SU,SW109NH,0,28,29.5,0,14.27,NW,3,20,0,0,17,,,Kingston SU,16.5,20
Croydon SU,CR77YE,1,28,39.6,27,20.18,SW,5,26,0,0,24,,,King’s College SU,23.5666666666667,28
Hillingdon SU,UB83NN,0,28,33.7,0,21.47,NW,3,20,0,0,26,,,Lewisham SU,42.4666666666667,50
Homerton SU,E96SR,0,28,54.7,0,13.55,NE,2,16,0,0,16,,,N Middlesex SU,43.3,51
King’s College SU,SE59RS,1,28,35.1,28,15.23,SE,4,16,1,0,18,,,Newham General SU,28.9,34
Kingston SU,KT27QB,1,28,30.4,20,14.04,SW,5,20,0,0,17,,,Northwick Park SU,48.3,57
Lewisham SU,SE136LH,1,28,35.7,50,41.03,SE,4,50,0,0,49,,,Princess Royal SU,17.3333333333333,21
N Middlesex SU,N181QX,1,28,30,51,24.99,NC,1,20,0,0,30,,,Queens Romford SU,23.6,28
Newham General SU,E138SL,1,28,21.3,34,13.52,NE,2,13,0,0,16,,,Royal Free SU,30.1,36
Northwick Park SU,HA13UJ,1,28,21.2,57,28.45,NW,3,34,1,1,34,,,St Helier SU,23.1666666666667,28
Princess Royal SU,BR68ND,1,28,25.6,21,21.34,SE,4,26,1,1,26,,,University College SU,25.5333333333333,31
Queens Romford SU,RM70AG,1,28,19.4,28,31.58,NE,2,30,1,1,38,,,W Middlesex SU,21.8666666666667,26
Royal Free SU,NW32QG,1,28,19.2,36,21.52,NC,1,18,0,0,26,,,Whipps Cross SU,23.7,28
Royal London SU,E11FR,0,28,20.6,0,8.99,NE,2,14,1,0,11,,,,,
St George’s SU,SW170QT,0,28,38.9,0,12.56,SW,5,16,1,1,15,,,,,
St Helier SU,SM51AA,1,28,42.1,28,15.23,SW,5,24,0,0,18,,,,,
St Thomas SU,SE17EH,0,28,37,0,17.45,SE,4,20,0,0,21,,,,,
University College SU,NW12BU,1,28,32.8,31,13.06,NC,1,17,1,1,16,,,,,
W Middlesex SU,TW76AF,1,28,31.9,26,15.33,NW,3,22,0,0,19,,,,,
Whipps Cross SU,E111NR,1,28,21.5,28,16.13,NE,2,19,0,0,19,,,,,
