,,constrained_beds
min,asu_patients_all,383.0
min,asu_patients_allocated,371.0
min,asu_patients_displaced,0.0
min,asu_patients_unallocated,0.0
min,current_patients,383.0
min,total_patients,0.0
min,total_patients_asu,0.0
min,total_patients_displaced,0.0
min,total_patients_waited,0.0
mean,asu_patients_all,440.21625570776257
mean,asu_patients_allocated,415.584200913242
mean,asu_patients_displaced,0.0
mean,asu_patients_unallocated,24.63205479452055
mean,current_patients,440.21625570776257
mean,total_patients,4761.169863013699
mean,total_patients_asu,2705.741095890411
mean,total_patients_displaced,0.0
mean,total_patients_waited,751.2057534246576
median,asu_patients_all,439.0
median,asu_patients_allocated,416.0
median,asu_patients_displaced,0.0
median,asu_patients_unallocated,24.0
median,current_patients,439.0
median,total_patients,4761.0
median,total_patients_asu,2703.0
median,total_patients_displaced,0.0
median,total_patients_waited,743.0
max,asu_patients_all,510.0
max,asu_patients_allocated,462.0
max,asu_patients_displaced,0.0
max,asu_patients_unallocated,74.0
max,current_patients,510.0
max,total_patients,9523.0
max,total_patients_asu,5498.0
max,total_patients_displaced,0.0
max,total_patients_waited,1787.0
percentile_95,asu_patients_all,473.0
percentile_95,asu_patients_allocated,438.0
percentile_95,asu_patients_displaced,0.0
percentile_95,asu_patients_unallocated,44.0
percentile_95,current_patients,473.0
percentile_95,total_patients,9052.0
percentile_95,total_patients_asu,5145.549999999999
percentile_95,total_patients_displaced,0.0
percentile_95,total_patients_waited,1467.5499999999993
