,,constrained_beds
min,Lewisham SU,961.0
min,N Middlesex SU,1017.0
min,Newham General SU,947.0
min,Northwick Park SU,1308.0
min,St Helier SU,903.0
mean,Lewisham SU,1013.0
mean,N Middlesex SU,1063.2666666666667
mean,Newham General SU,1024.2666666666667
mean,Northwick Park SU,1387.0666666666666
mean,St Helier SU,963.6333333333333
median,Lewisham SU,1014.0
median,N Middlesex SU,1056.5
median,Newham General SU,1029.5
median,Northwick Park SU,1391.5
median,St Helier SU,962.0
max,Lewisham SU,1061.0
max,N Middlesex SU,1127.0
max,Newham General SU,1067.0
max,Northwick Park SU,1465.0
max,St Helier SU,1026.0
percentile_95,Lewisham SU,1049.55
percentile_95,N Middlesex SU,1107.65
percentile_95,Newham General SU,1062.2
percentile_95,Northwick Park SU,1436.4499999999998
percentile_95,St Helier SU,1010.95
