,,constrained_beds
min,Lewisham SU,0.0
min,N Middlesex SU,0.0
min,Newham General SU,0.0
min,Northwick Park SU,0.0
min,St Helier SU,0.0
mean,Lewisham SU,0.43333333333333335
mean,N Middlesex SU,0.4666666666666667
mean,Newham General SU,0.23333333333333334
mean,Northwick Park SU,0.03333333333333333
mean,St Helier SU,0.6333333333333333
median,Lewisham SU,0.0
median,N Middlesex SU,0.0
median,Newham General SU,0.0
median,Northwick Park SU,0.0
median,St Helier SU,0.0
max,Lewisham SU,10.0
max,N Middlesex SU,13.0
max,Newham General SU,7.0
max,Northwick Park SU,1.0
max,St Helier SU,8.0
percentile_95,Lewisham SU,2.0
percentile_95,N Middlesex SU,1.0
percentile_95,Newham General SU,0.0
percentile_95,Northwick Park SU,0.0
percentile_95,St Helier SU,4.0
