,,constrained_beds
min,asu_patients_all,381.0
min,asu_patients_allocated,368.0
min,asu_patients_displaced,0.0
min,asu_patients_unallocated,0.0
min,current_patients,381.0
min,total_patients,0.0
min,total_patients_asu,0.0
min,total_patients_displaced,0.0
min,total_patients_waited,0.0
mean,asu_patients_all,438.0012785388128
mean,asu_patients_allocated,416.6616438356164
mean,asu_patients_displaced,0.0
mean,asu_patients_unallocated,21.339634703196346
mean,current_patients,438.0012785388128
mean,total_patients,4761.169863013699
mean,total_patients_asu,2709.1638356164385
mean,total_patients_displaced,0.0
mean,total_patients_waited,689.3815525114155
median,asu_patients_all,437.0
median,asu_patients_allocated,417.0
median,asu_patients_displaced,0.0
median,asu_patients_unallocated,20.0
median,current_patients,437.0
median,total_patients,4761.0
median,total_patients_asu,2709.0
median,total_patients_displaced,0.0
median,total_patients_waited,678.5
max,asu_patients_all,506.0
max,asu_patients_allocated,463.0
max,asu_patients_displaced,0.0
max,asu_patients_unallocated,79.0
max,current_patients,506.0
max,total_patients,9523.0
max,total_patients_asu,5553.0
max,total_patients_displaced,0.0
max,total_patients_waited,1711.0
percentile_95,asu_patients_all,470.0
percentile_95,asu_patients_allocated,438.0
percentile_95,asu_patients_displaced,0.0
percentile_95,asu_patients_unallocated,44.0
percentile_95,current_patients,470.0
percentile_95,total_patients,9052.0
percentile_95,total_patients_asu,5158.0
percentile_95,total_patients_displaced,0.0
percentile_95,total_patients_waited,1386.0
