,,demand 0.75,demand 0.80,demand 0.85,demand 0.90,demand 0.95,demand 1.0
min,asu_patients_all,265.0,293.0,309.0,330.0,350.0,375.0
min,asu_patients_allocated,265.0,293.0,306.0,326.0,348.0,366.0
min,asu_patients_displaced,0.0,0.0,0.0,0.0,0.0,0.0
min,asu_patients_unallocated,0.0,0.0,0.0,0.0,0.0,0.0
min,current_patients,265.0,293.0,309.0,330.0,350.0,375.0
min,total_patients,0.0,0.0,0.0,0.0,0.0,0.0
min,total_patients_asu,0.0,0.0,0.0,0.0,0.0,0.0
min,total_patients_displaced,0.0,0.0,0.0,0.0,0.0,0.0
min,total_patients_waited,0.0,0.0,0.0,0.0,0.0,0.0
mean,asu_patients_all,312.88730593607306,335.7639269406393,358.9876712328767,382.4061187214612,406.7429223744292,437.75625570776253
mean,asu_patients_allocated,311.94904109589044,333.91360730593607,355.4649315068493,375.34,394.54210045662103,417.0407305936073
mean,asu_patients_displaced,0.0,0.0,0.0,0.0,0.0,0.0
mean,asu_patients_unallocated,0.9382648401826484,1.8503196347031963,3.5227397260273974,7.066118721461187,12.20082191780822,20.715525114155252
mean,current_patients,312.88730593607306,335.7639269406393,358.9876712328767,382.4061187214612,406.7429223744292,437.75625570776253
mean,total_patients,3570.753424657534,3809.6301369863013,4047.5178082191783,4285.402739726027,4523.290410958904,4761.169863013699
mean,total_patients_asu,2029.1321461187215,2173.868493150685,2306.7816438356163,2434.998812785388,2570.042191780822,2717.135890410959
mean,total_patients_displaced,0.0,0.0,0.0,0.0,0.0,0.0
mean,total_patients_waited,51.53680365296804,96.18584474885844,168.9199086757991,280.8708675799087,454.34940639269405,692.427397260274
median,asu_patients_all,313.0,336.0,359.0,382.0,407.0,439.0
median,asu_patients_allocated,312.0,334.0,356.0,375.0,394.0,418.0
median,asu_patients_displaced,0.0,0.0,0.0,0.0,0.0,0.0
median,asu_patients_unallocated,0.0,1.0,3.0,6.0,11.0,20.0
median,current_patients,313.0,336.0,359.0,382.0,407.0,439.0
median,total_patients,3571.0,3810.0,4048.0,4285.0,4523.0,4761.0
median,total_patients_asu,2027.0,2174.0,2303.5,2433.0,2573.0,2715.0
median,total_patients_displaced,0.0,0.0,0.0,0.0,0.0,0.0
median,total_patients_waited,50.0,89.0,161.0,273.0,449.0,671.0
max,asu_patients_all,358.0,381.0,406.0,435.0,458.0,493.0
max,asu_patients_allocated,356.0,377.0,396.0,419.0,439.0,457.0
max,asu_patients_displaced,0.0,0.0,0.0,0.0,0.0,0.0
max,asu_patients_unallocated,15.0,17.0,20.0,36.0,44.0,65.0
max,current_patients,358.0,381.0,406.0,435.0,458.0,493.0
max,total_patients,7142.0,7619.0,8095.0,8571.0,9047.0,9523.0
max,total_patients_asu,4166.0,4441.0,4700.0,4979.0,5278.0,5557.0
max,total_patients_displaced,0.0,0.0,0.0,0.0,0.0,0.0
max,total_patients_waited,161.0,319.0,484.0,785.0,1125.0,1797.0
percentile_95,asu_patients_all,335.0,358.0,382.0,408.0,434.0,467.0
percentile_95,asu_patients_allocated,334.0,355.0,377.0,397.0,417.0,438.0
percentile_95,asu_patients_displaced,0.0,0.0,0.0,0.0,0.0,0.0
percentile_95,asu_patients_unallocated,4.0,7.0,10.0,18.0,25.0,38.0
percentile_95,current_patients,335.0,358.0,382.0,408.0,434.0,467.0
percentile_95,total_patients,6789.0,7242.0,7694.0,8147.0,8599.0,9052.0
percentile_95,total_patients_asu,3861.0,4134.549999999999,4395.549999999999,4642.0,4884.0,5174.549999999999
percentile_95,total_patients_displaced,0.0,0.0,0.0,0.0,0.0,0.0
percentile_95,total_patients_waited,119.0,219.0,369.0,582.0,892.5499999999993,1398.0
