,,demand 0.75,demand 0.80,demand 0.85,demand 0.90,demand 0.95,demand 1.0
min,Barnet General SU,7.142857142857142,7.142857142857142,14.285714285714285,7.142857142857142,0.0,28.57142857142857
min,Charing Cross SU,19.35483870967742,25.806451612903224,29.03225806451613,32.25806451612903,35.483870967741936,25.806451612903224
min,Chelsea & Wminster SU,5.88235294117647,11.76470588235294,11.76470588235294,17.647058823529413,17.647058823529413,17.647058823529413
min,Croydon SU,16.666666666666664,12.5,16.666666666666664,25.0,25.0,25.0
min,Hillingdon SU,15.384615384615385,11.538461538461538,19.230769230769234,23.076923076923077,23.076923076923077,30.76923076923077
min,Homerton SU,12.5,12.5,18.75,18.75,18.75,18.75
min,Kingston SU,11.76470588235294,5.88235294117647,11.76470588235294,17.647058823529413,17.647058823529413,23.52941176470588
min,King’s College SU,0.0,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,16.666666666666664
min,Lewisham SU,26.53061224489796,20.408163265306122,30.612244897959183,36.734693877551024,38.775510204081634,44.89795918367347
min,N Middlesex SU,16.666666666666664,26.666666666666668,26.666666666666668,20.0,30.0,33.33333333333333
min,Newham General SU,6.25,12.5,12.5,18.75,6.25,18.75
min,Northwick Park SU,20.588235294117645,26.47058823529412,26.47058823529412,29.411764705882355,38.23529411764706,44.11764705882353
min,Princess Royal SU,15.384615384615385,23.076923076923077,19.230769230769234,26.923076923076923,15.384615384615385,30.76923076923077
min,Queens Romford SU,18.421052631578945,28.947368421052634,23.684210526315788,31.57894736842105,23.684210526315788,34.21052631578947
min,Royal Free SU,15.384615384615385,19.230769230769234,23.076923076923077,23.076923076923077,30.76923076923077,34.61538461538461
min,Royal London SU,0.0,0.0,9.090909090909092,0.0,0.0,0.0
min,St George’s SU,6.666666666666667,6.666666666666667,13.333333333333334,13.333333333333334,6.666666666666667,13.333333333333334
min,St Helier SU,5.555555555555555,11.11111111111111,11.11111111111111,16.666666666666664,16.666666666666664,16.666666666666664
min,St Thomas SU,9.523809523809524,9.523809523809524,19.047619047619047,19.047619047619047,23.809523809523807,28.57142857142857
min,University College SU,12.5,6.25,12.5,12.5,25.0,18.75
min,W Middlesex SU,10.526315789473683,15.789473684210526,15.789473684210526,10.526315789473683,15.789473684210526,21.052631578947366
min,Whipps Cross SU,10.526315789473683,10.526315789473683,15.789473684210526,15.789473684210526,21.052631578947366,26.31578947368421
mean,Barnet General SU,67.25309849967442,72.22243966079652,75.9151989562954,81.30593607306022,86.5088062622324,91.05870841487416
mean,Charing Cross SU,62.52879658270804,65.16718220651151,70.64781263809174,73.77728678745116,78.40241567241219,83.30446310207745
mean,Chelsea & Wminster SU,63.75718506580552,67.67069567552862,70.8595218909455,75.8769809293542,79.96830513026747,81.73945742680323
mean,Croydon SU,63.52511415525158,69.36948249619489,73.72031963470361,76.69634703196344,79.246575342466,83.19710806697167
mean,Hillingdon SU,61.808219178081465,66.50509308043499,69.37407797681765,74.9715489989467,79.46469968387869,82.8872497365663
mean,Homerton SU,62.11643835616438,64.92979452054794,69.94920091324201,73.26712328767124,77.91952054794521,80.98972602739725
mean,Kingston SU,67.54069298952271,68.87026591458287,73.9086757990839,78.22401289282489,80.8251410153064,86.8836959441273
mean,King’s College SU,58.83155758498221,61.03348554033506,64.65449010654504,68.4687975646879,72.78741755454097,78.35210553018787
mean,Lewisham SU,62.88584474885898,67.20678408349713,71.67551952287802,75.86767309663637,78.63311900102599,83.8160469667326
mean,N Middlesex SU,61.65144596651473,64.05601217656002,70.96438356164376,73.47366818873644,77.31841704718393,82.78538812785362
mean,Newham General SU,63.567351598173516,68.66038812785388,71.28824200913242,76.66495433789954,81.56963470319634,84.76027397260275
mean,Northwick Park SU,63.84904646790357,68.25866236905732,73.29143164115023,76.7633628793983,80.49583669083893,86.44453397797226
mean,Princess Royal SU,60.44994731296078,65.90551457674695,70.35335440814869,75.15911485774511,78.55005268703951,82.55778011942604
mean,Queens Romford SU,61.4921893775532,66.59865416966989,69.55635664503691,73.63902907954764,77.07450132179738,82.38260033645743
mean,Royal Free SU,62.71338250790226,68.83069898138328,71.47067088162943,76.5616438356176,80.77590446083737,84.75623463294902
mean,Royal London SU,55.11830635118357,60.075550020756125,65.55666251556889,70.59028642590383,72.15774180157925,77.07015359070452
mean,St George’s SU,57.36864535768633,63.10319634703189,70.20639269406443,73.31080669710798,75.14459665144629,79.96407914764141
mean,St Helier SU,63.22729578893912,70.07153729071588,72.09741248097365,75.61491628615035,80.86098427194389,83.16539827498833
mean,St Thomas SU,60.12828875842471,67.33202870189025,70.37312459230164,74.44618395303314,77.7943031093729,82.22613611654927
mean,University College SU,63.20091324200913,65.35045662100457,71.22831050228311,74.36586757990868,79.19520547945206,81.83219178082192
mean,W Middlesex SU,60.46479211727857,65.20307618360985,69.08531602980037,73.17712088440337,78.36097092045314,81.27998077385426
mean,Whipps Cross SU,63.83946166786836,66.95890410958904,72.1240086517666,74.3191540495079,79.06945445806413,85.84859408796238
median,Barnet General SU,64.28571428571429,71.42857142857143,78.57142857142857,85.71428571428571,92.85714285714286,100.0
median,Charing Cross SU,61.29032258064516,64.51612903225806,70.96774193548387,74.19354838709677,77.41935483870968,83.87096774193549
median,Chelsea & Wminster SU,64.70588235294117,64.70588235294117,70.58823529411765,76.47058823529412,82.35294117647058,82.35294117647058
median,Croydon SU,62.5,70.83333333333334,75.0,75.0,79.16666666666666,87.5
median,Hillingdon SU,61.53846153846154,65.38461538461539,69.23076923076923,73.07692307692307,80.76923076923077,84.61538461538461
median,Homerton SU,62.5,62.5,68.75,75.0,81.25,81.25
median,Kingston SU,64.70588235294117,70.58823529411765,76.47058823529412,82.35294117647058,82.35294117647058,94.11764705882352
median,King’s College SU,61.111111111111114,61.111111111111114,66.66666666666666,66.66666666666666,72.22222222222221,77.77777777777779
median,Lewisham SU,63.26530612244898,67.3469387755102,71.42857142857143,75.51020408163265,79.59183673469387,83.6734693877551
median,N Middlesex SU,60.0,63.33333333333333,70.0,73.33333333333333,76.66666666666667,83.33333333333334
median,Newham General SU,62.5,68.75,68.75,81.25,87.5,87.5
median,Northwick Park SU,64.70588235294117,67.64705882352942,73.52941176470588,76.47058823529412,79.41176470588235,88.23529411764706
median,Princess Royal SU,61.53846153846154,65.38461538461539,69.23076923076923,73.07692307692307,80.76923076923077,84.61538461538461
median,Queens Romford SU,60.526315789473685,65.78947368421053,68.42105263157895,73.68421052631578,76.31578947368422,81.57894736842105
median,Royal Free SU,61.53846153846154,69.23076923076923,71.15384615384615,76.92307692307693,80.76923076923077,88.46153846153845
median,Royal London SU,54.54545454545454,54.54545454545454,63.63636363636363,72.72727272727273,72.72727272727273,81.81818181818183
median,St George’s SU,60.0,60.0,66.66666666666666,73.33333333333333,80.0,80.0
median,St Helier SU,61.111111111111114,72.22222222222221,72.22222222222221,77.77777777777779,83.33333333333334,88.88888888888889
median,St Thomas SU,57.14285714285714,66.66666666666666,71.42857142857143,76.19047619047619,76.19047619047619,85.71428571428571
median,University College SU,62.5,62.5,68.75,75.0,81.25,87.5
median,W Middlesex SU,57.89473684210527,63.1578947368421,68.42105263157895,73.68421052631578,78.94736842105263,84.21052631578947
median,Whipps Cross SU,63.1578947368421,68.42105263157895,73.68421052631578,73.68421052631578,78.94736842105263,89.47368421052632
max,Barnet General SU,100.0,100.0,100.0,100.0,100.0,100.0
max,Charing Cross SU,100.0,100.0,100.0,100.0,100.0,100.0
max,Chelsea & Wminster SU,100.0,100.0,100.0,100.0,100.0,100.0
max,Croydon SU,100.0,100.0,100.0,100.0,100.0,100.0
max,Hillingdon SU,100.0,100.0,100.0,100.0,100.0,100.0
max,Homerton SU,100.0,100.0,100.0,100.0,100.0,100.0
max,Kingston SU,100.0,100.0,100.0,100.0,100.0,100.0
max,King’s College SU,100.0,100.0,100.0,100.0,100.0,100.0
max,Lewisham SU,100.0,100.0,100.0,100.0,100.0,100.0
max,N Middlesex SU,100.0,100.0,100.0,100.0,100.0,100.0
max,Newham General SU,100.0,100.0,100.0,100.0,100.0,100.0
max,Northwick Park SU,100.0,100.0,100.0,100.0,100.0,100.0
max,Princess Royal SU,100.0,100.0,100.0,100.0,100.0,100.0
max,Queens Romford SU,100.0,100.0,100.0,100.0,100.0,100.0
max,Royal Free SU,100.0,100.0,100.0,100.0,100.0,100.0
max,Royal London SU,100.0,100.0,100.0,100.0,100.0,100.0
max,St George’s SU,100.0,100.0,100.0,100.0,100.0,100.0
max,St Helier SU,100.0,100.0,100.0,100.0,100.0,100.0
max,St Thomas SU,100.0,100.0,100.0,100.0,100.0,100.0
max,University College SU,100.0,100.0,100.0,100.0,100.0,100.0
max,W Middlesex SU,100.0,100.0,100.0,100.0,100.0,100.0
max,Whipps Cross SU,100.0,100.0,100.0,100.0,100.0,100.0
percentile_95,Barnet General SU,100.0,100.0,100.0,100.0,100.0,100.0
percentile_95,Charing Cross SU,87.09677419354838,87.09677419354838,96.7741935483871,100.0,100.0,100.0
percentile_95,Chelsea & Wminster SU,100.0,100.0,100.0,100.0,100.0,100.0
percentile_95,Croydon SU,87.5,95.83333333333334,100.0,100.0,100.0,100.0
percentile_95,Hillingdon SU,88.46153846153845,96.15384615384616,96.15384615384616,100.0,100.0,100.0
percentile_95,Homerton SU,93.75,100.0,100.0,100.0,100.0,100.0
percentile_95,Kingston SU,100.0,100.0,100.0,100.0,100.0,100.0
percentile_95,King’s College SU,88.88888888888889,94.44444444444444,100.0,100.0,100.0,100.0
percentile_95,Lewisham SU,81.63265306122449,87.75510204081633,91.83673469387756,95.91836734693877,100.0,100.0
percentile_95,N Middlesex SU,86.66666666666667,86.66666666666667,96.66666666666667,100.0,100.0,100.0
percentile_95,Newham General SU,100.0,100.0,100.0,100.0,100.0,100.0
percentile_95,Northwick Park SU,85.29411764705883,94.11764705882352,97.05882352941177,100.0,100.0,100.0
percentile_95,Princess Royal SU,84.61538461538461,92.3076923076923,100.0,100.0,100.0,100.0
percentile_95,Queens Romford SU,81.57894736842105,89.47368421052632,92.10526315789474,97.36842105263158,100.0,100.0
percentile_95,Royal Free SU,92.3076923076923,96.15384615384616,100.0,100.0,100.0,100.0
percentile_95,Royal London SU,90.9090909090909,100.0,100.0,100.0,100.0,100.0
percentile_95,St George’s SU,93.33333333333333,100.0,100.0,100.0,100.0,100.0
percentile_95,St Helier SU,94.44444444444444,100.0,100.0,100.0,100.0,100.0
percentile_95,St Thomas SU,90.47619047619048,100.0,100.0,100.0,100.0,100.0
percentile_95,University College SU,93.75,100.0,100.0,100.0,100.0,100.0
percentile_95,W Middlesex SU,94.73684210526315,94.73684210526315,100.0,100.0,100.0,100.0
percentile_95,Whipps Cross SU,94.73684210526315,100.0,100.0,100.0,100.0,100.0
