,,demand 0.75,demand 0.80,demand 0.85,demand 0.90,demand 0.95,demand 1.0
min,Barnet General SU,5.0,3.0,4.0,5.0,6.0,6.0
min,Charing Cross SU,13.0,10.0,15.0,18.0,17.0,15.0
min,Chelsea & Wminster SU,3.0,4.0,7.0,6.0,8.0,7.0
min,Croydon SU,8.0,8.0,10.0,12.0,10.0,9.0
min,Hillingdon SU,8.0,9.0,10.0,13.0,10.0,12.0
min,Homerton SU,4.0,6.0,5.0,7.0,5.0,7.0
min,Kingston SU,6.0,5.0,4.0,6.0,8.0,10.0
min,King’s College SU,5.0,7.0,3.0,7.0,7.0,6.0
min,Lewisham SU,21.0,21.0,24.0,21.0,29.0,27.0
min,N Middlesex SU,12.0,12.0,12.0,15.0,14.0,16.0
min,Newham General SU,5.0,6.0,7.0,6.0,5.0,4.0
min,Northwick Park SU,13.0,15.0,17.0,19.0,19.0,17.0
min,Princess Royal SU,9.0,11.0,9.0,11.0,16.0,12.0
min,Queens Romford SU,12.0,16.0,16.0,15.0,20.0,19.0
min,Royal Free SU,7.0,11.0,7.0,12.0,14.0,11.0
min,Royal London SU,2.0,2.0,2.0,4.0,3.0,4.0
min,St George’s SU,3.0,6.0,6.0,6.0,6.0,5.0
min,St Helier SU,4.0,5.0,5.0,4.0,8.0,8.0
min,St Thomas SU,6.0,6.0,8.0,10.0,8.0,6.0
min,University College SU,4.0,5.0,5.0,6.0,7.0,9.0
min,W Middlesex SU,4.0,8.0,5.0,6.0,8.0,11.0
min,Whipps Cross SU,6.0,6.0,6.0,6.0,8.0,9.0
mean,Barnet General SU,8.466666666666667,9.966666666666667,10.333333333333334,11.2,11.933333333333334,12.466666666666667
mean,Charing Cross SU,19.4,19.966666666666665,22.0,23.5,25.3,24.8
mean,Chelsea & Wminster SU,11.133333333333333,12.333333333333334,12.366666666666667,12.233333333333333,13.333333333333334,14.366666666666667
mean,Croydon SU,14.766666666666667,16.233333333333334,16.566666666666666,19.533333333333335,20.233333333333334,20.233333333333334
mean,Hillingdon SU,14.966666666666667,17.933333333333334,18.466666666666665,19.566666666666666,19.833333333333332,22.0
mean,Homerton SU,9.966666666666667,10.533333333333333,11.1,11.533333333333333,11.833333333333334,12.9
mean,Kingston SU,11.5,10.466666666666667,13.6,13.566666666666666,13.533333333333333,15.2
mean,King’s College SU,10.166666666666666,12.0,11.2,12.566666666666666,13.2,13.666666666666666
mean,Lewisham SU,30.166666666666668,32.53333333333333,36.56666666666667,34.36666666666667,40.333333333333336,40.06666666666667
mean,N Middlesex SU,20.033333333333335,20.633333333333333,21.1,21.8,22.433333333333334,23.833333333333332
mean,Newham General SU,11.066666666666666,11.0,11.533333333333333,12.5,12.933333333333334,13.533333333333333
mean,Northwick Park SU,22.8,23.333333333333332,23.533333333333335,26.733333333333334,27.3,28.866666666666667
mean,Princess Royal SU,16.5,17.166666666666668,18.0,19.033333333333335,21.266666666666666,21.6
mean,Queens Romford SU,23.3,26.666666666666668,25.8,27.866666666666667,30.533333333333335,30.433333333333334
mean,Royal Free SU,16.633333333333333,18.233333333333334,19.466666666666665,19.633333333333333,20.0,21.2
mean,Royal London SU,6.166666666666667,6.5,7.633333333333334,8.433333333333334,7.633333333333334,8.233333333333333
mean,St George’s SU,9.133333333333333,9.733333333333333,11.033333333333333,11.533333333333333,11.733333333333333,12.333333333333334
mean,St Helier SU,11.533333333333333,12.2,12.6,13.8,14.466666666666667,15.4
mean,St Thomas SU,12.966666666666667,14.433333333333334,15.9,16.1,16.333333333333332,16.9
mean,University College SU,9.9,10.5,11.8,11.133333333333333,13.4,14.366666666666667
mean,W Middlesex SU,10.366666666666667,12.633333333333333,13.5,15.066666666666666,13.7,15.466666666666667
mean,Whipps Cross SU,12.766666666666667,12.966666666666667,12.9,12.8,15.1,15.733333333333333
median,Barnet General SU,8.0,10.0,11.0,12.0,13.5,14.0
median,Charing Cross SU,19.0,20.0,22.0,23.5,25.0,24.0
median,Chelsea & Wminster SU,11.0,12.0,12.0,12.5,13.5,15.0
median,Croydon SU,14.5,17.0,17.0,19.5,21.5,20.5
median,Hillingdon SU,14.5,18.0,18.0,18.5,20.0,23.0
median,Homerton SU,10.0,10.0,10.5,12.0,12.0,13.5
median,Kingston SU,10.5,10.5,14.0,14.0,14.0,16.0
median,King’s College SU,10.0,11.5,11.0,12.5,14.0,14.0
median,Lewisham SU,31.0,33.0,36.0,34.0,41.5,39.5
median,N Middlesex SU,20.0,20.0,21.0,21.0,22.0,24.0
median,Newham General SU,11.5,10.5,11.0,13.0,13.5,15.0
median,Northwick Park SU,22.5,23.0,22.0,26.5,26.5,29.0
median,Princess Royal SU,17.0,17.0,18.0,19.0,20.5,23.0
median,Queens Romford SU,24.0,27.0,26.0,27.0,31.0,31.0
median,Royal Free SU,16.5,18.5,20.5,19.0,20.0,21.0
median,Royal London SU,6.0,6.5,8.5,9.0,7.5,9.0
median,St George’s SU,9.0,9.0,11.0,12.5,13.0,13.5
median,St Helier SU,12.0,12.0,12.0,14.0,15.0,16.5
median,St Thomas SU,12.0,14.0,15.0,16.0,17.0,16.5
median,University College SU,10.0,10.0,12.0,11.0,13.5,15.5
median,W Middlesex SU,10.0,12.5,13.5,15.5,13.0,16.0
median,Whipps Cross SU,12.0,12.5,12.5,13.0,15.5,17.0
max,Barnet General SU,14.0,14.0,14.0,14.0,14.0,14.0
max,Charing Cross SU,27.0,28.0,29.0,31.0,31.0,31.0
max,Chelsea & Wminster SU,17.0,17.0,17.0,17.0,17.0,17.0
max,Croydon SU,24.0,22.0,24.0,24.0,24.0,24.0
max,Hillingdon SU,22.0,25.0,26.0,26.0,26.0,26.0
max,Homerton SU,15.0,16.0,16.0,16.0,16.0,16.0
max,Kingston SU,17.0,16.0,17.0,17.0,17.0,17.0
max,King’s College SU,17.0,18.0,18.0,18.0,18.0,18.0
max,Lewisham SU,43.0,42.0,49.0,48.0,49.0,48.0
max,N Middlesex SU,30.0,29.0,30.0,30.0,30.0,30.0
max,Newham General SU,16.0,16.0,16.0,16.0,16.0,16.0
max,Northwick Park SU,31.0,32.0,32.0,34.0,34.0,34.0
max,Princess Royal SU,24.0,26.0,26.0,26.0,26.0,26.0
max,Queens Romford SU,33.0,34.0,34.0,38.0,38.0,38.0
max,Royal Free SU,24.0,26.0,26.0,26.0,26.0,26.0
max,Royal London SU,11.0,10.0,11.0,11.0,11.0,11.0
max,St George’s SU,15.0,15.0,15.0,15.0,15.0,15.0
max,St Helier SU,18.0,18.0,18.0,18.0,18.0,18.0
max,St Thomas SU,19.0,21.0,21.0,21.0,21.0,21.0
max,University College SU,16.0,16.0,16.0,16.0,16.0,16.0
max,W Middlesex SU,19.0,19.0,19.0,19.0,19.0,19.0
max,Whipps Cross SU,19.0,19.0,19.0,19.0,19.0,19.0
percentile_95,Barnet General SU,13.0,14.0,14.0,14.0,14.0,14.0
percentile_95,Charing Cross SU,27.0,28.0,28.0,30.0,31.0,31.0
percentile_95,Chelsea & Wminster SU,17.0,17.0,17.0,17.0,17.0,17.0
percentile_95,Croydon SU,21.0,22.0,22.0,24.0,24.0,24.0
percentile_95,Hillingdon SU,21.0,24.0,26.0,26.0,26.0,26.0
percentile_95,Homerton SU,14.0,16.0,16.0,15.0,16.0,16.0
percentile_95,Kingston SU,17.0,16.0,17.0,17.0,17.0,17.0
percentile_95,King’s College SU,17.0,17.0,16.0,18.0,18.0,18.0
percentile_95,Lewisham SU,39.0,39.0,47.0,46.0,48.0,48.0
percentile_95,N Middlesex SU,27.0,28.0,30.0,28.0,29.0,30.0
percentile_95,Newham General SU,16.0,15.0,16.0,16.0,16.0,16.0
percentile_95,Northwick Park SU,30.0,29.0,32.0,34.0,34.0,34.0
percentile_95,Princess Royal SU,24.0,22.0,25.0,26.0,26.0,26.0
percentile_95,Queens Romford SU,32.0,34.0,34.0,37.0,37.0,38.0
percentile_95,Royal Free SU,23.0,25.0,24.0,26.0,26.0,26.0
percentile_95,Royal London SU,11.0,10.0,11.0,11.0,11.0,11.0
percentile_95,St George’s SU,15.0,15.0,15.0,15.0,15.0,15.0
percentile_95,St Helier SU,18.0,18.0,18.0,18.0,18.0,18.0
percentile_95,St Thomas SU,19.0,21.0,21.0,21.0,21.0,21.0
percentile_95,University College SU,15.0,16.0,16.0,15.0,16.0,16.0
percentile_95,W Middlesex SU,19.0,19.0,19.0,19.0,19.0,19.0
percentile_95,Whipps Cross SU,18.0,19.0,19.0,18.0,19.0,19.0
