,,demand 0.75,demand 0.80,demand 0.85,demand 0.90,demand 0.95,demand 1.0
min,Barnet General SU,104.0,110.0,121.0,121.0,128.0,149.0
min,Charing Cross SU,209.0,230.0,260.0,249.0,268.0,291.0
min,Chelsea & Wminster SU,119.0,128.0,129.0,151.0,151.0,157.0
min,Croydon SU,177.0,195.0,197.0,205.0,213.0,232.0
min,Hillingdon SU,167.0,201.0,208.0,222.0,233.0,253.0
min,Homerton SU,107.0,119.0,121.0,125.0,139.0,143.0
min,Kingston SU,124.0,120.0,141.0,150.0,145.0,165.0
min,King’s College SU,113.0,123.0,126.0,125.0,138.0,162.0
min,Lewisham SU,364.0,387.0,410.0,449.0,455.0,497.0
min,N Middlesex SU,207.0,222.0,239.0,243.0,261.0,298.0
min,Newham General SU,112.0,118.0,112.0,130.0,132.0,140.0
min,Northwick Park SU,237.0,269.0,287.0,309.0,306.0,348.0
min,Princess Royal SU,182.0,204.0,208.0,226.0,236.0,254.0
min,Queens Romford SU,260.0,292.0,304.0,322.0,338.0,364.0
min,Royal Free SU,183.0,204.0,206.0,239.0,248.0,244.0
min,Royal London SU,52.0,60.0,79.0,83.0,80.0,93.0
min,St George’s SU,96.0,97.0,119.0,117.0,116.0,134.0
min,St Helier SU,129.0,143.0,145.0,143.0,159.0,176.0
min,St Thomas SU,130.0,161.0,168.0,176.0,174.0,193.0
min,University College SU,98.0,109.0,128.0,134.0,141.0,147.0
min,W Middlesex SU,130.0,138.0,144.0,144.0,171.0,183.0
min,Whipps Cross SU,126.0,146.0,152.0,160.0,165.0,188.0
mean,Barnet General SU,122.43333333333334,133.13333333333333,139.26666666666668,149.83333333333334,158.56666666666666,165.96666666666667
mean,Charing Cross SU,251.46666666666667,264.1,285.2,297.8666666666667,319.3333333333333,336.23333333333335
mean,Chelsea & Wminster SU,142.0,150.9,157.53333333333333,168.6,177.53333333333333,182.3
mean,Croydon SU,198.86666666666667,217.4,228.86666666666667,240.73333333333332,249.56666666666666,262.46666666666664
mean,Hillingdon SU,208.03333333333333,225.63333333333333,234.1,253.9,268.73333333333335,281.8333333333333
mean,Homerton SU,129.4,135.13333333333333,145.96666666666667,151.8,162.1,169.8
mean,Kingston SU,150.6,151.96666666666667,165.43333333333334,173.26666666666668,179.43333333333334,192.6
mean,King’s College SU,137.63333333333333,144.33333333333334,151.6,161.86666666666667,169.5,183.5
mean,Lewisham SU,402.5,430.06666666666666,457.8,484.1,504.1666666666667,535.3333333333334
mean,N Middlesex SU,240.6,253.0,276.6666666666667,284.76666666666665,299.8666666666667,322.7
mean,Newham General SU,133.33333333333334,142.23333333333332,149.63333333333333,158.53333333333333,170.03333333333333,178.0
mean,Northwick Park SU,282.03333333333336,303.3333333333333,323.0,339.03333333333336,357.73333333333335,382.06666666666666
mean,Princess Royal SU,206.96666666666667,224.73333333333332,238.86666666666667,254.4,267.53333333333336,281.0
mean,Queens Romford SU,304.7,328.76666666666665,344.3666666666667,365.9,383.1666666666667,407.9
mean,Royal Free SU,214.26666666666668,233.96666666666667,243.76666666666668,258.8,275.1666666666667,287.1666666666667
mean,Royal London SU,80.1,86.0,93.76666666666667,102.56666666666666,103.03333333333333,110.9
mean,St George’s SU,113.7,124.26666666666667,137.73333333333332,143.23333333333332,147.0,156.73333333333332
mean,St Helier SU,149.26666666666668,164.4,169.06666666666666,178.5,190.06666666666666,197.86666666666667
mean,St Thomas SU,164.26666666666668,184.6,192.76666666666668,202.76666666666668,213.0,224.83333333333334
mean,University College SU,132.53333333333333,136.3,148.46666666666667,154.73333333333332,165.03333333333333,172.16666666666666
mean,W Middlesex SU,149.23333333333332,161.96666666666667,171.9,180.5,193.46666666666667,203.0
mean,Whipps Cross SU,157.16666666666666,165.66666666666666,177.36666666666667,185.2,194.76666666666668,213.9
median,Barnet General SU,124.0,134.5,139.0,148.0,160.5,166.5
median,Charing Cross SU,253.5,267.0,283.5,299.0,317.5,334.0
median,Chelsea & Wminster SU,142.5,153.0,154.5,168.5,179.0,184.0
median,Croydon SU,198.0,216.5,229.0,240.0,251.5,263.5
median,Hillingdon SU,209.5,227.5,234.0,253.5,269.5,282.5
median,Homerton SU,128.0,133.5,147.5,152.0,161.0,173.5
median,Kingston SU,150.0,151.0,169.5,168.5,181.5,194.5
median,King’s College SU,138.5,144.5,151.0,163.5,170.5,183.5
median,Lewisham SU,401.5,430.0,457.0,482.0,505.5,534.5
median,N Middlesex SU,238.0,253.5,274.0,287.0,304.0,322.0
median,Newham General SU,134.0,143.5,152.0,159.0,168.0,179.0
median,Northwick Park SU,288.5,303.0,324.5,339.5,362.0,377.0
median,Princess Royal SU,208.5,225.0,232.5,255.5,268.0,281.0
median,Queens Romford SU,304.0,335.0,345.0,362.5,384.0,409.0
median,Royal Free SU,210.5,233.0,244.0,259.0,278.0,285.5
median,Royal London SU,79.5,85.0,92.0,102.5,102.5,111.0
median,St George’s SU,114.0,124.0,138.0,143.0,148.5,156.0
median,St Helier SU,148.0,160.5,173.0,177.5,190.5,198.5
median,St Thomas SU,164.0,185.0,193.5,202.0,217.0,224.5
median,University College SU,134.0,137.5,148.0,155.0,166.5,170.5
median,W Middlesex SU,148.5,162.5,174.0,181.0,194.0,203.0
median,Whipps Cross SU,158.5,166.0,174.5,186.5,196.0,217.5
max,Barnet General SU,136.0,163.0,172.0,174.0,190.0,185.0
max,Charing Cross SU,276.0,290.0,319.0,345.0,347.0,363.0
max,Chelsea & Wminster SU,167.0,181.0,186.0,194.0,206.0,204.0
max,Croydon SU,227.0,232.0,259.0,275.0,292.0,300.0
max,Hillingdon SU,241.0,254.0,285.0,282.0,303.0,304.0
max,Homerton SU,153.0,155.0,163.0,181.0,188.0,190.0
max,Kingston SU,174.0,182.0,207.0,199.0,212.0,213.0
max,King’s College SU,160.0,161.0,173.0,192.0,196.0,204.0
max,Lewisham SU,442.0,480.0,501.0,543.0,533.0,572.0
max,N Middlesex SU,276.0,282.0,310.0,329.0,323.0,351.0
max,Newham General SU,154.0,164.0,166.0,185.0,195.0,207.0
max,Northwick Park SU,312.0,338.0,354.0,363.0,396.0,422.0
max,Princess Royal SU,234.0,247.0,289.0,281.0,290.0,316.0
max,Queens Romford SU,343.0,358.0,375.0,406.0,426.0,452.0
max,Royal Free SU,255.0,277.0,281.0,283.0,298.0,329.0
max,Royal London SU,107.0,115.0,120.0,121.0,129.0,137.0
max,St George’s SU,145.0,146.0,155.0,167.0,170.0,182.0
max,St Helier SU,179.0,198.0,194.0,209.0,219.0,221.0
max,St Thomas SU,189.0,205.0,218.0,232.0,241.0,255.0
max,University College SU,159.0,157.0,174.0,183.0,184.0,195.0
max,W Middlesex SU,179.0,185.0,203.0,219.0,220.0,224.0
max,Whipps Cross SU,183.0,198.0,208.0,220.0,227.0,239.0
percentile_95,Barnet General SU,135.55,150.55,154.64999999999998,172.1,184.55,181.55
percentile_95,Charing Cross SU,272.55,288.1,305.0,326.75,345.54999999999995,361.54999999999995
percentile_95,Chelsea & Wminster SU,156.55,166.64999999999998,179.84999999999997,188.84999999999997,199.55,200.75
percentile_95,Croydon SU,216.84999999999997,231.55,255.29999999999998,267.1,281.44999999999993,292.95
percentile_95,Hillingdon SU,224.1,250.09999999999997,256.55,280.2,284.4,300.2
percentile_95,Homerton SU,151.0,153.0,159.55,176.2,182.0,182.1
percentile_95,Kingston SU,169.64999999999998,173.84999999999997,182.55,197.55,202.0,209.2
percentile_95,King’s College SU,152.84999999999997,159.1,172.1,183.2,194.64999999999998,203.0
percentile_95,Lewisham SU,426.09999999999997,465.94999999999993,491.74999999999994,512.0,528.55,565.3
percentile_95,N Middlesex SU,268.0,281.55,305.54999999999995,311.84999999999997,321.2,349.54999999999995
