,,constrained_beds,constrained_beds_allow_any_redirect,constrained_beds_allow_region_redirect
min,Barnet General SU,0.0,0.0,0.0
min,Charing Cross SU,0.0,0.0,0.0
min,Chelsea & Wminster SU,0.0,0.0,0.0
min,Croydon SU,0.0,0.0,0.0
min,Hillingdon SU,0.0,0.0,0.0
min,Homerton SU,0.0,0.0,0.0
min,Kingston SU,0.0,0.0,0.0
min,King’s College SU,0.0,0.0,0.0
min,Lewisham SU,0.0,0.0,0.0
min,N Middlesex SU,0.0,0.0,0.0
min,Newham General SU,0.0,0.0,0.0
min,Northwick Park SU,0.0,0.0,0.0
min,Princess Royal SU,0.0,0.0,0.0
min,Queens Romford SU,0.0,0.0,0.0
min,Royal Free SU,0.0,0.0,0.0
min,Royal London SU,0.0,0.0,0.0
min,St George’s SU,0.0,0.0,0.0
min,St Helier SU,0.0,0.0,0.0
min,St Thomas SU,0.0,0.0,0.0
min,University College SU,0.0,0.0,0.0
min,W Middlesex SU,0.0,0.0,0.0
min,Whipps Cross SU,0.0,0.0,0.0
mean,Barnet General SU,2.3333333333333335,0.0,0.06666666666666667
mean,Charing Cross SU,1.0,0.0,0.03333333333333333
mean,Chelsea & Wminster SU,0.4666666666666667,0.0,0.0
mean,Croydon SU,0.7,0.0,0.1
mean,Hillingdon SU,1.0,0.0,0.0
mean,Homerton SU,1.0,0.0,0.03333333333333333
mean,Kingston SU,1.7666666666666666,0.0,0.2
mean,King’s College SU,0.36666666666666664,0.0,0.0
mean,Lewisham SU,0.4666666666666667,0.0,0.1
mean,N Middlesex SU,0.6,0.0,0.03333333333333333
mean,Newham General SU,1.0,0.0,0.1
mean,Northwick Park SU,1.8333333333333333,0.0,0.0
mean,Princess Royal SU,0.9666666666666667,0.0,0.03333333333333333
mean,Queens Romford SU,0.26666666666666666,0.0,0.03333333333333333
mean,Royal Free SU,1.1,0.0,0.06666666666666667
mean,Royal London SU,0.6666666666666666,0.0,0.06666666666666667
mean,St George’s SU,0.8333333333333334,0.0,0.2
mean,St Helier SU,1.7333333333333334,0.0,0.1
mean,St Thomas SU,0.7,0.0,0.03333333333333333
mean,University College SU,1.5666666666666667,0.0,0.0
mean,W Middlesex SU,0.8,0.0,0.0
mean,Whipps Cross SU,0.9666666666666667,0.0,0.0
median,Barnet General SU,1.5,0.0,0.0
median,Charing Cross SU,0.0,0.0,0.0
median,Chelsea & Wminster SU,0.0,0.0,0.0
median,Croydon SU,0.0,0.0,0.0
median,Hillingdon SU,0.0,0.0,0.0
median,Homerton SU,0.0,0.0,0.0
median,Kingston SU,0.0,0.0,0.0
median,King’s College SU,0.0,0.0,0.0
median,Lewisham SU,0.0,0.0,0.0
median,N Middlesex SU,0.0,0.0,0.0
median,Newham General SU,0.0,0.0,0.0
median,Northwick Park SU,0.0,0.0,0.0
median,Princess Royal SU,0.0,0.0,0.0
median,Queens Romford SU,0.0,0.0,0.0
median,Royal Free SU,0.0,0.0,0.0
median,Royal London SU,0.0,0.0,0.0
median,St George’s SU,0.0,0.0,0.0
median,St Helier SU,0.0,0.0,0.0
median,St Thomas SU,0.0,0.0,0.0
median,University College SU,0.0,0.0,0.0
median,W Middlesex SU,0.0,0.0,0.0
median,Whipps Cross SU,0.0,0.0,0.0
max,Barnet General SU,12.0,0.0,2.0
max,Charing Cross SU,13.0,0.0,1.0
max,Chelsea & Wminster SU,5.0,0.0,0.0
max,Croydon SU,10.0,0.0,1.0
max,Hillingdon SU,9.0,0.0,0.0
max,Homerton SU,6.0,0.0,1.0
max,Kingston SU,21.0,0.0,4.0
max,King’s College SU,7.0,0.0,0.0
max,Lewisham SU,6.0,0.0,2.0
max,N Middlesex SU,8.0,0.0,1.0
max,Newham General SU,10.0,0.0,1.0
max,Northwick Park SU,11.0,0.0,0.0
max,Princess Royal SU,9.0,0.0,1.0
max,Queens Romford SU,5.0,0.0,1.0
max,Royal Free SU,9.0,0.0,2.0
max,Royal London SU,8.0,0.0,1.0
max,St George’s SU,10.0,0.0,3.0
max,St Helier SU,14.0,0.0,1.0
max,St Thomas SU,7.0,0.0,1.0
max,University College SU,10.0,0.0,0.0
max,W Middlesex SU,6.0,0.0,0.0
max,Whipps Cross SU,7.0,0.0,0.0
percentile_95,Barnet General SU,9.0,0.0,0.0
percentile_95,Charing Cross SU,6.0,0.0,0.0
percentile_95,Chelsea & Wminster SU,4.0,0.0,0.0
percentile_95,Croydon SU,6.0,0.0,1.0
percentile_95,Hillingdon SU,6.0,0.0,0.0
percentile_95,Homerton SU,5.0,0.0,0.0
percentile_95,Kingston SU,7.0,0.0,2.0
percentile_95,King’s College SU,2.0,0.0,0.0
percentile_95,Lewisham SU,4.0,0.0,1.0
percentile_95,N Middlesex SU,5.0,0.0,0.0
percentile_95,Newham General SU,7.0,0.0,1.0
percentile_95,Northwick Park SU,11.0,0.0,0.0
percentile_95,Princess Royal SU,5.0,0.0,0.0
percentile_95,Queens Romford SU,1.0,0.0,0.0
percentile_95,Royal Free SU,6.0,0.0,0.0
percentile_95,Royal London SU,4.0,0.0,1.0
percentile_95,St George’s SU,5.0,0.0,2.0
percentile_95,St Helier SU,10.0,0.0,1.0
percentile_95,St Thomas SU,5.0,0.0,0.0
percentile_95,University College SU,6.0,0.0,0.0
percentile_95,W Middlesex SU,5.0,0.0,0.0
percentile_95,Whipps Cross SU,5.0,0.0,0.0
