,,constrained_beds,constrained_beds_allow_region_redirect
min,asu_patients_all,373.0,366.0
min,asu_patients_allocated,362.0,366.0
min,asu_patients_displaced,0.0,3.0
min,asu_patients_unallocated,0.0,0.0
min,current_patients,373.0,366.0
min,total_patients,0.0,0.0
min,total_patients_asu,0.0,0.0
min,total_patients_displaced,0.0,0.0
min,total_patients_waited,0.0,0.0
mean,asu_patients_all,433.28739726027396,418.2943378995434
mean,asu_patients_allocated,416.3050228310502,418.2943378995434
mean,asu_patients_displaced,0.0,21.81214611872146
mean,asu_patients_unallocated,16.982374429223743,0.0
mean,current_patients,433.28739726027396,418.2943378995434
mean,total_patients,4761.169863013699,4761.169863013699
mean,total_patients_asu,2706.844200913242,2710.7667579908675
mean,total_patients_displaced,0.0,140.50666666666666
mean,total_patients_waited,538.1331506849315,0.0
median,asu_patients_all,433.0,418.0
median,asu_patients_allocated,417.0,418.0
median,asu_patients_displaced,0.0,21.0
median,asu_patients_unallocated,16.0,0.0
median,current_patients,433.0,418.0
median,total_patients,4761.0,4761.0
median,total_patients_asu,2705.5,2708.0
median,total_patients_displaced,0.0,138.0
median,total_patients_waited,528.0,0.0
max,asu_patients_all,492.0,472.0
max,asu_patients_allocated,465.0,472.0
max,asu_patients_displaced,0.0,46.0
max,asu_patients_unallocated,53.0,0.0
max,current_patients,492.0,472.0
max,total_patients,9523.0,9523.0
max,total_patients_asu,5509.0,5526.0
max,total_patients_displaced,0.0,326.0
max,total_patients_waited,1337.0,0.0
percentile_95,asu_patients_all,461.0,441.0
percentile_95,asu_patients_allocated,439.0,441.0
percentile_95,asu_patients_displaced,0.0,34.0
percentile_95,asu_patients_unallocated,34.0,0.0
percentile_95,current_patients,461.0,441.0
percentile_95,total_patients,9052.0,9052.0
percentile_95,total_patients_asu,5155.0,5166.0
percentile_95,total_patients_displaced,0.0,273.0
percentile_95,total_patients_waited,1074.0,0.0
