,,constrained_beds,constrained_beds_allow_region_redirect
min,Barnet General SU,7.142857142857142,21.428571428571427
min,Charing Cross SU,35.483870967741936,32.25806451612903
min,Chelsea & Wminster SU,23.52941176470588,11.76470588235294
min,Croydon SU,29.166666666666668,25.0
min,Hillingdon SU,30.76923076923077,26.923076923076923
min,Homerton SU,18.75,6.25
min,Kingston SU,23.52941176470588,17.647058823529413
min,King’s College SU,16.666666666666664,16.666666666666664
min,Lewisham SU,40.816326530612244,42.857142857142854
min,N Middlesex SU,33.33333333333333,30.0
min,Newham General SU,6.25,18.75
min,Northwick Park SU,0.011000110001100011,0.016000160001600015
min,Princess Royal SU,0.0070000700007000075,0.01000010000100001
min,Queens Romford SU,0.015000150001500014,0.017000170001700017
min,Royal Free SU,38.46153846153847,26.923076923076923
min,Royal London SU,0.0,0.0
min,St George’s SU,0.002000020000200002,0.004000040000400004
min,St Helier SU,22.22222222222222,16.666666666666664
min,St Thomas SU,28.57142857142857,14.285714285714285
min,University College SU,0.003000030000300003,0.004000040000400004
min,W Middlesex SU,15.789473684210526,21.052631578947366
min,Whipps Cross SU,26.31578947368421,21.052631578947366
mean,Barnet General SU,87.23744292237555,77.85061969993669
mean,Charing Cross SU,81.3527765503028,79.31565768154458
mean,Chelsea & Wminster SU,86.62046736502421,75.19312382486847
mean,Croydon SU,83.83866057838708,78.92199391172018
mean,Hillingdon SU,83.51879171057499,78.67228661749374
mean,Homerton SU,78.42922374429224,73.69349315068493
mean,Kingston SU,87.53908138597457,77.48858447488087
mean,King’s College SU,76.44190766108635,73.94672754946723
mean,Lewisham SU,82.70040070822985,81.15664896095525
mean,N Middlesex SU,83.0809741248097,78.40091324200907
mean,Newham General SU,82.2574200913242,77.51369863013699
mean,Northwick Park SU,0.02908622693532803,0.033389101014295465
mean,Princess Royal SU,0.021650079514493152,0.024934678570530038
mean,Queens Romford SU,0.0315630553565791,0.03681096171692039
mean,Royal Free SU,86.44502985599117,79.41236389181817
mean,Royal London SU,77.8356164383584,70.59360730593795
mean,St George’s SU,0.011822310003922093,0.016561444153253984
mean,St Helier SU,84.94317605276625,75.77371892440544
mean,St Thomas SU,82.20569689063102,77.18590998043231
mean,University College SU,0.013306251783979312,0.0176037376812119
mean,W Middlesex SU,82.05046863734863,76.34174477289291
mean,Whipps Cross SU,83.71160778659036,76.84450853160483
median,Barnet General SU,100.0,78.57142857142857
median,Charing Cross SU,80.64516129032258,80.64516129032258
median,Chelsea & Wminster SU,94.11764705882352,76.47058823529412
median,Croydon SU,87.5,79.16666666666666
median,Hillingdon SU,84.61538461538461,80.76923076923077
median,Homerton SU,81.25,75.0
median,Kingston SU,94.11764705882352,76.47058823529412
median,King’s College SU,77.77777777777779,77.77777777777779
median,Lewisham SU,83.6734693877551,81.63265306122449
median,N Middlesex SU,83.33333333333334,80.0
median,Newham General SU,87.5,81.25
median,Northwick Park SU,0.029000290002900032,0.033000330003300035
median,Princess Royal SU,0.02100021000210002,0.025000250002500023
median,Queens Romford SU,0.03100031000310003,0.03700037000370004
median,Royal Free SU,88.46153846153845,80.76923076923077
median,Royal London SU,81.81818181818183,72.72727272727273
median,St George’s SU,0.012000120001200012,0.016000160001600015
median,St Helier SU,88.88888888888889,77.77777777777779
median,St Thomas SU,85.71428571428571,76.19047619047619
median,University College SU,0.013000130001300013,0.017000170001700017
median,W Middlesex SU,84.21052631578947,78.94736842105263
median,Whipps Cross SU,89.47368421052632,78.94736842105263
max,Barnet General SU,100.0,100.0
max,Charing Cross SU,100.0,100.0
max,Chelsea & Wminster SU,100.0,100.0
max,Croydon SU,100.0,100.0
max,Hillingdon SU,100.0,100.0
max,Homerton SU,100.0,100.0
max,Kingston SU,100.0,100.0
max,King’s College SU,100.0,100.0
max,Lewisham SU,100.0,100.0
max,N Middlesex SU,100.0,100.0
max,Newham General SU,100.0,100.0
max,Northwick Park SU,0.049000490004900046,0.061000610006100055
max,Princess Royal SU,0.04200042000420004,0.049000490004900046
max,Queens Romford SU,0.058000580005800065,0.060000600006000056
max,Royal Free SU,100.0,100.0
max,Royal London SU,100.0,100.0
max,St George’s SU,0.024000240002400024,0.03900039000390004
max,St Helier SU,100.0,100.0
max,St Thomas SU,100.0,100.0
max,University College SU,0.027000270002700028,0.04000040000400004
max,W Middlesex SU,100.0,100.0
max,Whipps Cross SU,100.0,100.0
percentile_95,Barnet General SU,100.0,100.0
percentile_95,Charing Cross SU,100.0,96.7741935483871
percentile_95,Chelsea & Wminster SU,100.0,100.0
percentile_95,Croydon SU,100.0,100.0
percentile_95,Hillingdon SU,100.0,100.0
percentile_95,Homerton SU,100.0,100.0
percentile_95,Kingston SU,100.0,100.0
percentile_95,King’s College SU,100.0,100.0
percentile_95,Lewisham SU,100.0,97.95918367346938
percentile_95,N Middlesex SU,100.0,96.66666666666667
percentile_95,Newham General SU,100.0,100.0
percentile_95,Northwick Park SU,0.03800038000380004,0.044000440004400045
percentile_95,Princess Royal SU,0.030000300003000028,0.03500035000350004
percentile_95,Queens Romford SU,0.04100041000410004,0.04800048000480005
percentile_95,Royal Free SU,100.0,100.0
percentile_95,Royal London SU,100.0,100.0
percentile_95,St George’s SU,0.018000180001800016,0.025000250002500023
percentile_95,St Helier SU,100.0,100.0
percentile_95,St Thomas SU,100.0,100.0
percentile_95,University College SU,0.01900019000190002,0.027000270002700028
percentile_95,W Middlesex SU,100.0,100.0
percentile_95,Whipps Cross SU,100.0,100.0
