,,constrained_beds
min,Lewisham SU,0.0
min,N Middlesex SU,0.0
min,Newham General SU,0.0
min,Northwick Park SU,0.0
min,St Helier SU,0.0
mean,Lewisham SU,0.0
mean,N Middlesex SU,0.0
mean,Newham General SU,0.0
mean,Northwick Park SU,0.0
mean,St Helier SU,0.0
median,Lewisham SU,0.0
median,N Middlesex SU,0.0
median,Newham General SU,0.0
median,Northwick Park SU,0.0
median,St Helier SU,0.0
max,Lewisham SU,0.0
max,N Middlesex SU,0.0
max,Newham General SU,0.0
max,Northwick Park SU,0.0
max,St Helier SU,0.0
percentile_95,Lewisham SU,0.0
percentile_95,N Middlesex SU,0.0
percentile_95,Newham General SU,0.0
percentile_95,Northwick Park SU,0.0
percentile_95,St Helier SU,0.0
