,,constrained_beds,constrained_beds_allow_any_redirect,constrained_beds_allow_region_redirect
min,asu_patients_all,380.0,368.0,363.0
min,asu_patients_allocated,367.0,368.0,363.0
min,asu_patients_displaced,0.0,4.0,8.0
min,asu_patients_unallocated,0.0,0.0,0.0
min,current_patients,380.0,368.0,363.0
min,total_patients,0.0,0.0,0.0
min,total_patients_asu,0.0,0.0,0.0
min,total_patients_displaced,0.0,0.0,0.0
min,total_patients_waited,0.0,0.0,0.0
mean,asu_patients_all,441.53799086757994,416.6132420091324,418.5975342465753
mean,asu_patients_allocated,418.7311415525114,416.6132420091324,417.72301369863015
mean,asu_patients_displaced,0.0,53.24109589041096,61.969589041095894
mean,asu_patients_unallocated,22.806849315068494,0.0,0.8745205479452055
mean,current_patients,441.53799086757994,416.6132420091324,418.5975342465753
mean,total_patients,4761.169863013699,4761.169863013699,4761.169863013699
mean,total_patients_asu,2727.189315068493,2704.587671232877,2711.490319634703
mean,total_patients_displaced,0.0,347.54593607305935,399.85415525114155
mean,total_patients_waited,736.3967123287671,0.0,90.39342465753424
median,asu_patients_all,441.0,417.0,419.0
median,asu_patients_allocated,419.0,417.0,418.0
median,asu_patients_displaced,0.0,52.0,59.0
median,asu_patients_unallocated,22.0,0.0,0.0
median,current_patients,441.0,417.0,419.0
median,total_patients,4761.0,4761.0,4761.0
median,total_patients_asu,2730.5,2701.0,2710.5
median,total_patients_displaced,0.0,345.0,392.0
median,total_patients_waited,725.0,0.0,63.0
max,asu_patients_all,509.0,465.0,469.0
max,asu_patients_allocated,467.0,465.0,468.0
max,asu_patients_displaced,0.0,149.0,138.0
max,asu_patients_unallocated,70.0,0.0,25.0
max,current_patients,509.0,465.0,469.0
max,total_patients,9523.0,9523.0,9523.0
max,total_patients_asu,5538.0,5492.0,5510.0
max,total_patients_displaced,0.0,838.0,1056.0
max,total_patients_waited,1810.0,0.0,662.0
percentile_95,asu_patients_all,473.0,440.0,443.0
percentile_95,asu_patients_allocated,441.0,440.0,441.0
percentile_95,asu_patients_displaced,0.0,85.0,104.0
percentile_95,asu_patients_unallocated,40.0,0.0,6.0
percentile_95,current_patients,473.0,440.0,443.0
percentile_95,total_patients,9052.0,9052.0,9052.0
percentile_95,total_patients_asu,5178.0,5147.0,5161.549999999999
percentile_95,total_patients_displaced,0.0,679.0,800.5499999999993
percentile_95,total_patients_waited,1449.5499999999993,0.0,233.0
