,,constrained_beds,constrained_beds_allow_region_redirect
min,Barnet General SU,6.0,5.0
min,Charing Cross SU,17.0,21.0
min,Chelsea & Wminster SU,7.0,7.0
min,Croydon SU,13.0,11.0
min,Hillingdon SU,12.0,10.0
min,Homerton SU,8.0,5.0
min,Kingston SU,7.0,9.0
min,King’s College SU,7.0,9.0
min,Lewisham SU,30.0,29.0
min,N Middlesex SU,16.0,14.0
min,Newham General SU,7.0,8.0
min,Northwick Park SU,18.0,24.0
min,Princess Royal SU,14.0,15.0
min,Queens Romford SU,24.0,23.0
min,Royal Free SU,14.0,13.0
min,Royal London SU,3.0,3.0
min,St George’s SU,6.0,5.0
min,St Helier SU,10.0,7.0
min,St Thomas SU,9.0,11.0
min,University College SU,8.0,10.0
min,W Middlesex SU,9.0,9.0
min,Whipps Cross SU,9.0,6.0
mean,Barnet General SU,11.966666666666667,10.3
mean,Charing Cross SU,25.7,26.433333333333334
mean,Chelsea & Wminster SU,14.966666666666667,13.233333333333333
mean,Croydon SU,20.466666666666665,19.233333333333334
mean,Hillingdon SU,21.633333333333333,20.733333333333334
mean,Homerton SU,13.133333333333333,11.966666666666667
mean,Kingston SU,14.766666666666667,13.8
mean,King’s College SU,14.133333333333333,14.3
mean,Lewisham SU,40.333333333333336,39.8
mean,N Middlesex SU,26.033333333333335,21.933333333333334
mean,Newham General SU,13.733333333333333,12.466666666666667
mean,Northwick Park SU,27.633333333333333,35.766666666666666
mean,Princess Royal SU,22.0,24.933333333333334
mean,Queens Romford SU,30.233333333333334,35.1
mean,Royal Free SU,21.733333333333334,21.2
mean,Royal London SU,8.533333333333333,7.8
mean,St George’s SU,12.5,16.033333333333335
mean,St Helier SU,16.1,12.766666666666667
mean,St Thomas SU,16.566666666666666,16.366666666666667
mean,University College SU,15.433333333333334,17.366666666666667
mean,W Middlesex SU,15.133333333333333,15.133333333333333
mean,Whipps Cross SU,15.666666666666666,14.5
median,Barnet General SU,13.5,11.0
median,Charing Cross SU,25.0,27.0
median,Chelsea & Wminster SU,16.0,14.0
median,Croydon SU,21.5,20.0
median,Hillingdon SU,23.0,21.5
median,Homerton SU,13.5,12.0
median,Kingston SU,16.5,14.0
median,King’s College SU,15.0,14.5
median,Lewisham SU,40.5,39.5
median,N Middlesex SU,26.5,22.5
median,Newham General SU,15.0,12.5
median,Northwick Park SU,27.5,34.0
median,Princess Royal SU,22.0,25.0
median,Queens Romford SU,29.5,35.5
median,Royal Free SU,22.0,22.0
median,Royal London SU,9.0,7.5
median,St George’s SU,12.0,14.0
median,St Helier SU,17.0,12.0
median,St Thomas SU,16.5,16.0
median,University College SU,15.5,16.0
median,W Middlesex SU,16.0,15.0
median,Whipps Cross SU,16.0,15.0
max,Barnet General SU,14.0,14.0
max,Charing Cross SU,31.0,31.0
max,Chelsea & Wminster SU,17.0,17.0
max,Croydon SU,24.0,23.0
max,Hillingdon SU,26.0,26.0
max,Homerton SU,16.0,16.0
max,Kingston SU,17.0,17.0
max,King’s College SU,18.0,18.0
max,Lewisham SU,49.0,49.0
max,N Middlesex SU,30.0,30.0
max,Newham General SU,16.0,16.0
max,Northwick Park SU,45.0,50.0
max,Princess Royal SU,32.0,35.0
max,Queens Romford SU,39.0,56.0
max,Royal Free SU,26.0,26.0
max,Royal London SU,11.0,11.0
max,St George’s SU,21.0,29.0
max,St Helier SU,18.0,18.0
max,St Thomas SU,21.0,21.0
max,University College SU,24.0,28.0
max,W Middlesex SU,19.0,19.0
max,Whipps Cross SU,19.0,19.0
percentile_95,Barnet General SU,14.0,13.0
percentile_95,Charing Cross SU,31.0,31.0
percentile_95,Chelsea & Wminster SU,17.0,17.0
percentile_95,Croydon SU,24.0,23.0
percentile_95,Hillingdon SU,26.0,25.0
percentile_95,Homerton SU,16.0,16.0
percentile_95,Kingston SU,17.0,17.0
percentile_95,King’s College SU,18.0,18.0
percentile_95,Lewisham SU,49.0,48.0
percentile_95,N Middlesex SU,30.0,28.0
percentile_95,Newham General SU,16.0,16.0
percentile_95,Northwick Park SU,37.0,49.0
percentile_95,Princess Royal SU,30.0,32.0
percentile_95,Queens Romford SU,37.0,48.0
percentile_95,Royal Free SU,26.0,26.0
percentile_95,Royal London SU,11.0,11.0
percentile_95,St George’s SU,20.0,27.0
percentile_95,St Helier SU,18.0,17.0
percentile_95,St Thomas SU,21.0,21.0
percentile_95,University College SU,23.0,28.0
percentile_95,W Middlesex SU,19.0,19.0
percentile_95,Whipps Cross SU,19.0,18.0
